Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",2903539.3300000005,2654565.3100000005,171241.16999999998,19271.79,10823.679999999998,7471.840000000001,7067.27,3985.4,3093.94,3809.39,2431.88,1545.83,1477.24,3179.18,13575.41
  -Biznes,867018.4500000007,846848.3400000004,3674.5199999999913,76.92999999999893,298.8899999999984,140.06000000000054,1254.7099999999998,0.15000000000009095,83.30999999999995,998.77,31.789999999999964,0,0,1869.99,11740.99
  -İstehlak,1714852.94,1501237.62,153586.71,18412.170000000002,10394.67,7242.6900000000005,5775.280000000001,3985.25,3010.63,2810.62,2400.09,1545.83,1477.24,1309.1899999999998,1664.95
  -Daşınmaz əmlak,321667.94,306479.35,13979.94,782.69,130.12,89.09,37.28,0,0,0,0,0,0,0,169.47
  -Digər kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",2903539.33,2146607.39,32510,0,385595.94,338826,0,0,,,,,,,
  -Biznes,867018.45,464255.45,16509,0,63928,322326,0,0,0,,,,,,
  -İstehlak,1714852.9400000002,1682351.9400000002,16001,0,0,16500,0,0,,,,,,,
  -Daşınmaz əmlak,321667.94,0,0,0,321667.94,0,0,0,,,,,,,
  -Digər kreditlər,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,
,,0,0,,,,,,,,,,,,
