Maliyyə vəziyyəti haqqında hesabat,,,
,,,min manatla
,finSitStatem,Hesabat dövrü,"Keçən ilin müvafiq
dövrü"
,,31.3.2022,31.3.2021
1 Aktivlər: 6 934 685 5 587 991,,,
"1,1 Nağd pul vəsaitləri və ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait 2 032 342 2 006 369",,,
