Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi","3,242,233",-,"3,431,328"
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",-,-,"1,251,381"
a1) faizsiz tələbli depozitlər,,,"1,251,381"
a2) faizli tələbli depozitlər,-,,
b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə,,,
,"1,543,712",-,"2,179,947"
"institutlarının cari hesabları da daxil olmaqla), cəmi",,,
b1) faizsiz tələbli depozitlər,,,"2,179,947"
b2) faizli tələbli depozitlər,"1,543,712",,
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi","1,698,522",-,-
c1) fiziki şəxslərin müddətli depozitləri,"893,995",,
c2) hüquqi şəxslərin müddətli depozitləri,"804,527",,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",540,-,-
a) auksion əsasında,-,-,-
b) overdraft,-,-,-
