Unnamed: 0,0-3 ay,3-6 ay,6-9 ay,9-12 ay,1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi
C1,"975,219","554,705","407,521","457,477","2,036,452","700,421","634,676","161,694","5,928,165"
C1,"2,478,149","630,942","572,805","859,734","315,101","168,767","59,242","386,464","5,471,204"
C1,"(1,502,929)","(76,237)","(165,284)","(402,258)","1,721,350","531,654","575,433","(224,770)",
C1,"673,318","(1,579,166)","(1,744,450)","(2,146,707)","(425,357)","106,297","681,731","456,960",
