Unnamed: 0,İri kredit tələblərinin məbləği və məcmu kapitala nisbəti,Unnamed: 1
,,İri kredit tələbinin bankın
No,İri kredit tələblərinin məbləği*,məcmu kapitalına nisbəti
,,(%-lə)
1,"61,655.78",6.58%
