Unnamed: 0,Unnamed: 1,0-3 ay,3-6 ay,6-9 ay,9-12 ay,1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi
Faiz dərəcəsinə həssas cəmi aktivlər,C1,"1,633,159","591,859","676,116","578,065","1,972,865","863,483","610,870","688,975","7,615,393"
Faiz dərəcəsinə həssas cəmi öhdəliklər,C1,"3,115,132","1,169,889","850,232","1,137,770","250,522","113,360","71,921","453,230","7,162,057"
Qəp,C1,"(1,481,972)","(578,030)","(174,116)","(559,705)","1,722,343","750,123","538,949","235,745",
Kumulyativ qəp,C1,"673,318","(2,060,002)","(2,234,119)","(2,793,824)","(1,071,480)","(321,358)","217,591","453,336",
