"","","","","","","","Ödəniş müddətinin başlanmasına qalmış günlər (illər)","","","","","","","","O cumlədən"
"6. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə","","","","","","","","","","","","","","",""
"","C6","-   
                               -","-   
                               -","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","-   
                               -   
                               -   
                               -","-   
                               -"
"təəhhüdlər, cəmi","","","","","","","","","","","","","","",""
"7. Digər balansdankənar öhdəliklər","C7","-   
                               -","-   
                               -","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","-   
                               -   
                               -   
                               -","-   
                               -"
"8. Cəmi balansdankənar öhdəliklər","C8","540 
                  1,558,855","462,831 
                     135,522","128,585 
                     151,844","307,167","130,992 
                       78,887","95,063","54,097","77,994 
                       67,521","42,462","48,521","158,622","49,117","897 
                               -                     3,549,516 
                  3,549,516","-   
                               -"
"9. Hər dövr üçün maliyyə aktivlərinin (passivlərinin) xalis məbləği.","C9","(5,199,101)
                   (382,490)","(423,878)
                   (180,604)","(1,463)
                   (212,680)","(221,885)","(114,793)
                   (183,501)","(86,529)","92,498","(82,756)
                   (246,164)","29,320","66,598","1,683,658","752,823","524,052 
                     637,378 
                (3,549,516)
                       93,736","-                   (1,468,198)"
"9.1.(Çıx) Bloklaşdırılmış hesablar,cəmi","C9_1","-   
                               -","-   
                               -","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","-   
                 1,413,113 
                  1,413,113 
                  1,413,113","-   
                               -"
"10. Kumulyativ məcmu","C10","(5,199,101)
                   (382,490)","(423,878)
                   (180,604)","(1,463)
                   (212,680)","(221,885)","(114,793)
                   (183,501)","(86,529)","92,498","(82,756)
                   (246,164)","29,320","66,598","1,683,658","752,823","524,052 
                   (775,736)
                (4,962,630)
                   (322,173)","-                   (1,468,198)"
"11. Hesabat dövrünün son ayına likvid aktivlərin orta gündəlik qalığları (cədvəl","","X","X
X","X
X","X","X
X","X","X","X
X","X","X","X","X","X
X
X
X","X
X"
"","C11","3,435,654","","","","","","","","","","","","",""
"M5)","","","","","","","","","","","","","","",""
"12. Hesabat dövrünün son ayına öhdəliklərin orta gündəlik qalığı (cədvəl M6)","C12","X
                  5,928,074","X
X","X
X","X","X
X","X","X","X
X","X","X","X","X","X
X
X
X","X
X"
"13.   Ani likvidlik əmsalı","C13","X
                              58","X
X","X
X","X","X
X","X","X","X
X","X","X","X","X","X
X
X
X","X
X"
"","","0-3 ay 
 3-6 ay","6-9 ay 
 9-12 ay","1-2 il 
 2-3 il","3-5 il","5 ildən artıq 
 Cəmi","","","","","","","","",""
"Faiz dərəcəsinə həssas cəmi aktivlər","C1","1,633,159 
                     591,859","676,116 
                     578,065","1,972,865 
                     863,483","610,870","688,975 
                 7,615,393","","","","","","","","",""
"Faiz dərəcəsinə həssas cəmi öhdəliklər","C1","3,115,132 
                  1,169,889","850,232 
                  1,137,770","250,522 
                     113,360","71,921","453,230 
                 7,162,057","","","","","","","","",""
"Qəp","C1","(1,481,972)
                   (578,030)","(174,116)
                   (559,705)","1,722,343 
                     750,123","538,949","235,745","","","","","","","","",""
"Kumulyativ qəp","C1","673,318 
                (2,060,002)","(2,234,119)
                (2,793,824)","(1,071,480)
                   (321,358)","217,591","453,336","","","","","","","","",""
