"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",3225006.8899999997,49179.92,0.015249555017229747
1.Sənaye ,232455.13,1393.38,0.005994189072101786
1.1.1 Mədən çıxarma sənayesi,6091.910000000001,0,0
"1.1.2 Emal sənayesi, cəmi",194399.16,1393.38,0.007167623563805523
1.1.3 Elektrik enerjisi və Qazın istehsalı ,4319.94,0,0
1.1.4 Sənayenin digər sahələri,27644.12,0,0
2. Kənd təsərrüfatı,32437.590000000004,3223.54,0.09937667995680319
3. Tikinti sahəsi,46702.060000000005,87.09,0.0018647999681384504
"4. Nəqliyyat, cəmi",10385.24,0,0
5. İnformasiya və Rabitə,26032.29,0,0
"6. Ticarət müəssisələrinə kredit, cəmi",277931.31999999995,2030.4299999999998,0.007305509864811207
7. Digər qeyri-istehsal və xidmət sahələri ,321978.73,1051.77,0.0032665822366589247
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,-
   9. İctimai Təşkilatlara,0,0,-
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",2277084.53,41393.71,0.018178380931690753
a) Yaşayış sahəsinin alınmasına,443864.7700000001,2303.1,0.005188742508219338
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",443864.7700000001,2303.1,0.005188742508219338
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,-
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,-
c) Avtomobil alınmasına,0,0,-
d) Məişət avadanlıqlarının alınmasına,0,0,-
e) Kredit kartları,433529.06999999995,7223.54,0.0166621813849761
f) Digər,1399690.6899999997,31867.07,0.02276722294980758
    11. Digər Kreditlər,0,0,-
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
