"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",2154115.8430000003,84529.88,0.03
1.Sənaye ,332556.05,942.55,0
1.1.1 Mədən çıxarma sənayesi,2020.65,0,0
"1.1.2 Emal sənayesi, cəmi",279246.74,942.55,0
1.1.3 Elektrik enerjisi və Qazın istehsalı ,1525.74,0,0
1.1.4 Sənayenin digər sahələri,49762.92,0,0
2. Kənd təsərrüfatı,18686.03,13846.83,0.01
3. Tikinti sahəsi,79146.04,369.86,0
"4. Nəqliyyat, cəmi",26757.32,0,0
5. İnformasiya və Rabitə,58318.91,9.11,0
"6. Ticarət müəssisələrinə kredit, cəmi",63468.729999999996,10946.050000000003,0
7. Digər qeyri-istehsal və xidmət sahələri ,29417.503,2791.58,0
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",1545765.2600000002,55623.9,0.02
a) Yaşayış sahəsinin alınmasına,192290.13,12942.099999999999,0
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",192290.13,12942.099999999999,0
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,318858.89999999997,9090.35,0
f) Digər,1034616.2299999999,33591.450000000004,0.02
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
