Likvidlik riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,min manatla
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,1555524.3499999999,221250.55,416826,273714,280687,192511,758769.5200000003,636553,534663.65,4870499.07
1.1,Nağd pul və ekvivalentləri,1457736,0,0,0,0,0,0,0,25094.61,1482830.61
1.2,Qiymətli kağızlar,0,100093,154852,51965,39065,32385,31532.499999999996,52064,30100,492056.5
1.3,Müştərilərə verilmiş kreditlər (xalis),32866.81,2799.55,137590,161827,171585,142761,687237.0200000003,567489,249960.04,2154115.4200000004
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),0,0,0,0,0,0,0,8500,1225,9725
1.5,Qısamüddətli maliyyə alətləri,0,85000,0,0,0,0,0,0,0,85000
1.6,Törəmə maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.7,Bankın depozitləri,4557.66,33358,117354,59100,63350,0,40000,8500,0,326219.66000000003
1.8,"“Nostro"" hesabları ",60363.88,,7030,822,6687,17365,,,,92267.88
1.9,Digər maliyyə aktivlər,0,0,0,0,0,0,0,0,228284,228284
2,Öhdəliklər,3266944.2939999998,0,21699.480000000014,192130,171080,92516,318868,66997.87,740263,4870498.643999999
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,0,0,0,0,0,0,0,2159.87,0,2159.87
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,0,0,0,61259,65051,0,45185,7625,231713,410833
2.3,Müştərilərin depozitləri:,2943792.8499999996,0,21699.480000000014,130871,106029,92516,273683,57213,0,3625804.3299999996
2.3.1,tələbli depozitlər,2943792.8499999996,0,0,0,0,0,0,0,0,2943792.8499999996
2.3.2,müddətli depozitlər,0,0,21699.480000000014,130871,106029,92516,273683,57213,0,682011.48
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0,0,0,0,0,0
2.5,Borc qiymətli kağızları,0,0,0,0,0,0,0,0,0,0
2.6," “Loro"" hesabları",5359,,,,,,,,,
2.7,Digər maliyyə öhdəliklər,317792.44399999996,0,0,0,0,0,0,0,0,317792.44399999996
2.8,Kapital,,,,,,,,,508550,
3,"Likvidlik ""qəpi""",-1711419.944,221250.55,395126.51999999996,81584,109607,99995,439901.52000000025,569555.13,-205599.34999999998,0.42600000044330955
