Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,3130625.7700000005
1.1,0-3 ay,756800.4099999999
1.2,3-6 ay,401909.08999999997
1.3,6-12 ay,498475.0
1.4,12-24 ay,758769.5200000003
1.5,24-36 ay,379415.75
1.6,36 aydan yuxarı,335256.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,1893932.4700000007
2.1,0-3 ay,169002.62000000002
2.2,3-6 ay,323001.7999999999
2.3,6-12 ay,462141.0
2.4,12-24 ay,592363.2700000007
2.5,24-36 ay,98485.77999999997
2.6,36 aydan yuxarı,248938.0
3.0,“Qəp”,1236692.2999999996
3.1,0-3 ay,587797.7899999999
3.2,3-6 ay,78907.2900000001
3.3,6-12 ay,36334.0
3.4,12-24 ay,166406.24999999953
3.5,24-36 ay,280929.97000000003
3.6,36 aydan yuxarı,86317.0
