Balance Sheet,,
"Kapital Bank ""O.J.S.C."" 31.12.2020",,
,,(thousand AZN)
Asset items Total In foreign currency,,
"1. Cash (including banknotes, coins, cash in transit, teller machines and exchange stations), total 406 850 133 698",,
