,0,0,0.0,0.0,0,0,"28,000",0,"5,400","3,400","14,000",0,"17,000",0,"26,000",0,"6,500",0,"23,500",0,0,0,"2,000",0,0,0,"50,000",0,"75,200",0,"200,762","188,262",0,0,0.0,0.0,0.0,0.0,"448,362","191,662"
müddətli depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f) qaytarılma müddəti bitmiş hüquqi şəxslərin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
müddətli depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-nın kreditləri,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"1,080",0,,0,,0.0,,0.0,"1,080",XXX
"3. “Loro"" hesabları (bankların müxbir hesabları)","11,829","11,829",0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"11,829","11,829"
a) Rezident bankların,"6,997","6,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,997","6,997"
b) Qeyri-rezident bankların,"4,833","4,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,833","4,833"
4. REPO əməliyyatları üzrə,0,,0.0,,"2,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,500",0
5. Banklararası bazarın qazanılmış qısamüddətli maliyyə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
alətləri (7-ci gün də daxil olmaqla 7 günədək  olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Bankların və digər maliyyə institutların depozitləri,0,0,596.0,596.0,0,0,0,0,0,0,"18,700","18,700",542,542,0,0,25,25,0,0,"36,000","34,000",0,0,"17,000","17,000",0,0,300,0,"86,893","83,870",512,512,0.0,0.0,972.0,972.0,"161,540","156,216"
a) Rezident maliyyə institutları,0,0,596.0,596.0,0,0,0,0,0,0,"18,700","18,700",542,542,0,0,25,25,0,0,"36,000","34,000",0,0,"17,000","17,000",0,0,300,0,"86,893","83,870",512,512,0.0,0.0,972.0,972.0,"161,540","156,216"
b) Qeyri-rezident maliyyə institutları,,,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
