"olmaqla, digər maliyyə institutlarına kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) cari kreditlər","0","0","0","0","0","0","0","0","0","0","0","0","0","0","173","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","5,794","0","0","0","0","0","0","0","5,968","0"
"a1) Rezident","0","0","0","0","0","0","0","0","0","0","0","0","0","0","173","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","5,794","0","0","0","0","0","0","0","5,968","0"
"a2) Qeyri-rezident","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"b) vaxtı keçmiş  kreditlər","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"b1)Rezident","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","","0","0"
"b2) Qeyri-rezident","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","","0","0"
"11. Müştərilərə verilən kreditlər","15,135","62","10,387","54","229,900","174,726","32,452","83","84,083","852","88,611","731","84,924","1,937","85,388","","8,023","101,455","1,962","97,349","26,227","78,396","342","77,574","","1,485","69,891","122","78,666","","2,627","82,207","3,100","1,201,087","51,442","361,707","14,597","299,907","22,340","468,568","6,831","3,547,687","317,545"
"a) cari kreditlər","15,135","62","10,387","54","229,900","174,726","32,452","83","84,083","852","88,611","731","84,924","1,937","85,388","","8,023","101,455","1,962","97,349","26,227","78,396","342","77,574","","1,485","69,891","122","78,666","","2,627","82,207","3,100","1,201,087","51,442","361,707","14,597","299,907","22,340","417,449","6,746","3,496,568","317,459"
"b) vaxtı keçmiş kreditlər","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","51,119","85","51,119","85"
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","81,896","0","81,896","0"
"istifadə olunmayan əsas vəsaitlər daxil olmaqla)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","66,998","8,461","66,998","8,461"
"iştirakı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14. Qeyri-maddi aktivlər","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","26,241","0","26,241","0"
"15. Digər aktivlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361,976","33,883","361,976","33,883"
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","442,791","4,794","442,791","4,794"
"məqsədli ehtiyatlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17. Cəmi aktivlər","1,375,136","279,613","410,421","257,541","286,843","175,807","87,185","457","162,328","852","127,323","731","102,530","1,937","376,957","","8,023","234,121","3,662","128,516","51,707","140,314","1,192","287,148","","5,310","95,458","190,662","114,145","","7,557","139,035","14,745","1,513,126","112,248","728,950","217,580","455,054","78,326","1,179,818","105,088","7,944,408","1,513,038"
"","","","","","","","","","","","","","","","","","","CƏDVƏL A 13 - ÖDƏNİŞ MÜDDƏTLƏRİNİN BÖLGÜSÜ  (davamı)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","Ödəniş müddətinin başlanmasına qalmış günlər (illər)","","","","","","","","","","","","","","","","","","","","","",""
"B. Öhdəliklər və kapital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","ani","","1-7","","8-14","","15-30","","31-60","","61-90","","91-120","","121-150","","","151-180","","181-210","","211-240","","241-270","","","271-300","","301-330","","","331-365 (366)","","1-2 il","","2-3 il","","3-5 il","","5 ildən artıq","","Cəmi",""
"","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","","Cəmi","XV (manat","Cəmi","XV (manat","","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","XV (manat","Cəmi","o cümlədən, XV"
"","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","","ekv.)","","ekv.)","","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","ekv.)","","ilə (manat ekv.)"
"liaAndCap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","tot-insLia","FXAZNEqui-","tot-0.25","FXAZNEqui-","tot-0.5","FXAZNEqui-0.5","tot-1","FXAZNEqui-1","tot-2","FXAZNEqui-2","tot-3","FXAZNEqui-3","tot-4","FXAZNEqui-4","tot-5","FXAZNEqui-5","","tot-6","FXAZNEqui-6","tot-7","FXAZNEqui-7","tot-8","FXAZNEqui-8","tot-9","FXAZNEqui-9","","tot-10","FXAZNEqui-10","tot-11","FXAZNEqui-11","","tot-12","FXAZNEqui-12","tot-24","FXAZNEqui-24","tot-36","FXAZNEqui-36","tot-60","FXAZNEqui-60","tot>60","FXAZNEqui>60","tot-totLia","FXAZNEqui-"
"","","insLia","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","totLia"
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna","5,289,814","719,253","541","34","8,805","1,262","73,985","2,229","29,252","6,534","31,495","2,355","37,179","3,557","46,233","","3,015","32,997","5,395","37,588","2,967","34,664","7,485","43,100","","5,263","24,386","5,319","80,341","","4,817","125,008","22,953","288,100","202,001","55,115","5,690","343","6","0","0","6,238,948","1,000,136"
"olmaqla), cəmi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) fiziki şəxslərin tələbli depozitlər","1,487,717","214,078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,487,717","214,078"
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(qeyri-bank maliyyə institutlarının cari hesabları da","3,802,090","505,175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,802,090","505,175"
"daxil olmaqla) və çek hesabları  daxil olmaqla)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli","7","1","541","34","8,805","1,262","45,985","2,229","23,852","3,134","17,495","2,355","20,179","3,557","20,233","","3,015","26,497","5,395","14,088","2,967","34,664","7,485","41,100","","5,263","24,386","5,319","30,341","","4,817","49,808","22,953","87,338","13,739","55,115","5,690","343","6","0","0","500,779","89,222"
"depozitlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin","0","0","0","0","0","0","28,000","0","5,400","3,400","14,000","0","17,000","0","26,000","","0","6,500","0","23,500","0","0","0","2,000","","0","0","0","50,000","","0","75,200","0","200,762","188,262","0","0","0","0","0","0","448,362","191,662"
"müddətli depozitlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"depozitlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f) qaytarılma müddəti bitmiş hüquqi şəxslərin","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"müddətli depozitlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. AMB-nın kreditləri","","0","","0","","0","","0","","0","","0","","0","","","0","","0","","0","","0","","","0","","0","","","0","","0","1,080","0","","0","","0","","0","1,080","XXX"
"3. “Loro"" hesabları (bankların müxbir hesabları)","11,829","11,829","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","11,829","11,829"
"a) Rezident bankların","6,997","6,997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,997","6,997"
"b) Qeyri-rezident bankların","4,833","4,833","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4,833","4,833"
"4. REPO əməliyyatları üzrə","0","","0","","2,500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2,500","0"
"5. Banklararası bazarın qazanılmış qısamüddətli maliyyə","","","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"alətləri (7-ci gün də daxil olmaqla 7 günədək  olanlar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Bankların və digər maliyyə institutların depozitləri","0","0","596","596","0","0","0","0","0","0","18,700","18,700","542","542","0","","0","25","25","0","0","36,000","34,000","0","","0","17,000","17,000","0","","0","300","0","86,893","83,870","512","512","0","0","972","972","161,540","156,216"
"a) Rezident maliyyə institutları","0","0","596","596","0","0","0","0","0","0","18,700","18,700","542","542","0","","0","25","25","0","0","36,000","34,000","0","","0","17,000","17,000","0","","0","300","0","86,893","83,870","512","512","0","0","972","972","161,540","156,216"
"b) Qeyri-rezident maliyyə institutları","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0"
"7. Banklardan alınmış kreditlər (7 gündən artıq müddətli","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","40,354","0","0","0","0","0","0","0","40,354","0"
"olanlar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) Rezident banklar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40,354","","","","","","","","40,354","0"
"b) Qeyri-rezident banklar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0"
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342,013","","342,013","0"
"institutlarından alınmış kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0"
"10. Bələdiyyələrin kreditləri və depozitləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0"
"11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0"
"kreditləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59,500","59,500","0","0","59,500","59,500"
"olan borc öhdəlikləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13. Digər passivlər","254,785","19,472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8,500","8,500","","","263,285","27,972"
"14. Kapital","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","823,359","","823,359","XXX"
"15. Cəmi passivlər (öhdəliklər üstəgəl kapital)","5,556,429","750,554","1,137","630","11,305","1,262","73,985","2,229","29,252","6,534","50,195","21,055","37,721","4,099","46,233","","3,015","33,022","5,420","37,588","2,967","70,664","41,485","43,100","","5,263","41,386","22,319","80,341","","4,817","125,308","22,953","416,427","285,870","55,626","6,202","68,343","68,006","1,166,344","972","7,944,408","1,255,653"
"16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xalis məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəl","-4,181,293","-470,941","409,283","256,910","275,538","174,545","13,200","-1,772","133,076","-5,682","77,128","-20,324","64,809","-2,163","330,723","","5,009","201,099","-1,758","90,928","48,740","69,649","-40,293","244,048","","48","54,072","168,342","33,803","","2,740","13,728","-8,208","1,096,699","-173,623","673,324","211,378","386,711","10,320","13,475","104,116","0","257,385"
"A13-B)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
