A. Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assets,"a
Cəmi","ni
XVe (kmva.)nat","1
Cəmi","-7
XVe (kmva.)nat","8-
Cəmi","14
XVe (kmva.)nat","15
Cəmi","-30
XVe (kmva.)nat","31
Cəmi","-60
XVe (kmva.)nat","61
Cəmi","-90
XVe (kmva.)nat","91-
Cəmi","120
XVe (kmva.)nat","121
Cəmi","-150
XVe (kmva.)nat","151
Cəmi","-180
XVe (kmva.)nat","181
Cəmi","-210
XVe (kmva.)nat","211
Cəmi","-240
XVe (kmva.)nat","241
Cəmi","-270
XVe (kmva.)nat","271
Cəmi","-300
XVe (kmva.)nat","301
Cəmi","-330
XVe (kmva.)nat","331-36
Cəmi","5 (366)
XVe (kmva.)nat","1-
Cəmi","2 il
XVe (kmva.)nat","2-
Cəmi","3 il
XVe (kmva.)nat","3-
Cəmi","5 il
XVe (kmva.)nat","5 ildə
Cəmi","n artıq
XVe (kmva.)nat","Cəm
Cəmi","i
oil əc ü(mmaləndaət ne,k XvV.)"
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZN14Equi-8-,tot-15-30,FXAZN3E0qui-15-,tot-31-60,FXAZN6E0qui-31-,tot-61-90,FXAZN9E0qui-61-,tot-91-120,FXAZN12E0qui-91-,tot-121-150,FX1A2Z1N-1E5q0ui-,tot-151-180,FX1A5Z1N-1E8q0ui-,tot-181-210,FX1A8Z1N-2E1q0ui-,tot-211-240,FX2A1Z1N-2E4q0ui-,tot-241-270,FX2A4Z1N-2E7q0ui-,tot-271-300,FX2A7Z1N-3E0q0ui-,tot-301-300,FXAZN3E30qui 301-,tot-331-365,FX3A3Z1N-3E6q5ui-,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
"1m.ü Nbaağddil əvsəis şaöitbləərlə (rsienydfəl,ə rydoəl,d ba)ankomatlarda, valyuta","849,969","170,580",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"849,969","170,580"
"2h3e. . sA “aN MbolaB srt - rın)o a "" o h l e a s n a b tə la lə r b ı lər (məcburi ehtiyat fondu və ya müxbir","429,204
61,564","28,144
61,564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"415,909
0","60,708
0","845,113
61,564","88,852
61,564"
"a) Rezident banklara
b) Qeyri-rezident banklara
4gü. nB adnək dlaarxairl aoslım baaqzlaar ı7n gqüısnaəmdəükd doəlatlnil amra)liyyə alətləri (7-ci","7,279
54,285","7,279
54,285","0
0
280,286","0
0
257,486","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","7,279
54,285
280,286","7,279
54,285
257,486"
"5cə. mBia nklar daxil da olmaqla, maliyyə institutlarına depozitlər,
a) Rezident maliyyə institutlarına
a1) müddəti çatmamış depozitlər
a2) qaytarılma müddəti bitmiş depozitlər","19,264
0
0
0","19,264
0
0
0","0
0
0
0","0
0
0
0","1,081
0
0
0","1,081
0
0
0","0
0
0
0","0
0
0
0","2,000
2,000
2,000
0","0
0
0
0","21,700
21,700
21,700
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","8,480
0
0
0","8,480
0
0
0","34,000
34,000
34,000
0","0
0
0
0","0
0
0
0","0
0
0
0","17,000
17,000
17,000
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","82,275
82,275
82,275
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0
0","0
0
0","0
0
0","185,799
156,975
156,975
0","28,824
0
0
0"
"b) Qeyri-rezident maliyyə institutlarına
b1) müddəti çatmamış depozitlər
b2) qaytarılma müddəti bitmiş depozitlər
6. Əks REPO əməliyyatları üzrə
7q.i yGmiərotlvi kqaoğyıuzllmaruaş i qnviyemstəistliiy kaalağrızlar da daxil olmaqla","19,264
19,264
0
0
0","19,264
19,264
0
0
0","0
0
0
103,160
13,607","0
0
0
0
0","1,081
1,081
0
29,581
26,282","1,081
1,081
0
0
0","0
0
0
3,934
47,850","0
0
0
0
374","0
0
0
0
61,521","0
0
0
0
0","0
0
0
0
17,012","0
0
0
0
0","0
0
0
0
9,725","0
0
0
0
0","0
0
0
0
275,164","0
0
0
0
0","0
0
0
0
123,408","0
0
0
0
1,700","8,480
8,480
0
0
14,218","8,480
8,480
0
0
17,000","0
0
0
0
21,151","0
0
0
0
850","0
0
0
0
209,574","0
0
0
0
3,825","0
0
0
0
8,568","0
0
0
0
190,539","0
0
0
0
35,479","0
0
0
0
4,930","0
0
0
0
56,828","0
0
0
0
11,645","0
0
0
0
223,970","0
0
0
0
60,806","0
0
0
0
357,043","0
0
0
0
192,783","0
0
0
0
155,147","0
0
0
0
55,986","0
0
0
5,325","0
0
0
0","28,824
28,824
0
136,674
1,661,872","28,824
28,824
0
0
540,438"
8ü.ç üGni rqoivy mqoətylui lkmauğşız qlaiyrmətli kağızlar da daxil olmaqla ticarət,0,0,"2,981",0,0,0,"2,949",0,"14,724",0,0,0,"7,881",0,"8,636",0,"9,258",0,"8,468",0,"6,767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"195,696",0,"257,360",0
"9al.ə 4tl-əcrüi sisəttiisrn üaz orəlm baaqnlkal,a braarnakslıa braa zkarreıdni tqlıəsramüddətli maliyyə",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,200","10,200",0,0,0,0,"17,795","10,200"
"a) cari kreditlər
a1) Rezident banklara","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","7,595
7,595","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","10,200
0","10,200
0","0
0","0
0","0
0","0
0","17,795
7,595","10,200
0"
"a2) Qeyri-rezident banklara
b) vaxtı keçmiş kreditlər
b1) Rezident banklara","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","10,200
0
0","10,200
0
0","0
0
0","0
0
0","0
0","0
0","10,200
0
0","10,200
0
0"
"b2) Qeyri-rezident banklara
1o0lm. a4q-claü a, s )də ic tgi aər r ri ü mk zr raə el diqyi ı tyl s əəa r minüsdtidtuəttllai rmınaal ikyryeəd aitlləətrləri istisna","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
173
173","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
5,794
5,794","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0","0
0","0
5,968
5,968","0
0
0"
"a1) Rezident
a2) Qeyri-rezident","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","173
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","5,794
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","5,968
0","0
0"
"b) vaxtı keçmiş kreditlər
b1)Rezident
b2) Qeyri-rezident","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0","0
0
0",0,0,"0
0
0","0
0
0"
"11. Müştərilərə verilən kreditlər
a) cari kreditlər","15,135
15,135","62
62","10,387
10,387","54
54","229,900
229,900","174,726
174,726","32,452
32,452","83
83","84,083
84,083","852
852","88,611
88,611","731
731","84,924
84,924","1,937
1,937","85,388
85,388","8,023
8,023","101,455
101,455","1,962
1,962","97,349
97,349","26,227
26,227","78,396
78,396","342
342","77,574
77,574","1,485
1,485","69,891
69,891","122
122","78,666
78,666","2,627
2,627","82,207
82,207","3,100
3,100","1,201,087
1,201,087","51,442
51,442","361,707
361,707","14,597
14,597","299,907
299,907","22,340
22,340","468,568
417,449","6,831
6,746","3,547,687
3,496,568","317,545
317,459"
1is2ti.f Aadməo b or) ltui vznaa msxia tyı y ak a e nçç ıəxm sıalimş s kav rqə els daa i iət t lsl ə əar rs dvaəxsiali toləlmr a(bqalan)k işində,"0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","51,119
81,896","85
0","51,119
81,896","85
0"
1i1ş3 4ti. .r İ Qacke mıy a r l i l - a m ş a m d a d m i ı a ş k ş ti i v rk lə ə r tlərdə investisiyalar və maliyyə,"0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","0
0","66,998
26,241","8,461
0","66,998
26,241","8,461
0"
