"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",3547686.7899999996,51118.939999999995,0.014409090493583285
1.Sənaye ,283684.25,1344.84,0.004740622716981996
1.1.1 Mədən çıxarma sənayesi,9482.83,0,0
"1.1.2 Emal sənayesi, cəmi",206250.8,1344.84,0.0065204110723449315
1.1.3 Elektrik enerjisi və Qazın istehsalı ,64156.87,0,0
1.1.4 Sənayenin digər sahələri,3793.75,0,0
2. Kənd təsərrüfatı,41979.72,3093.33,0.07368629423921837
3. Tikinti sahəsi,62604.37,86.59,0.0013831302830776828
"4. Nəqliyyat, cəmi",14445.69,0,0
5. İnformasiya və Rabitə,65934.42,0,0
"6. Ticarət müəssisələrinə kredit, cəmi",337308.99,3049.36,0.009040257124483994
7. Digər qeyri-istehsal və xidmət sahələri ,321916.73,1294.75,0.004022002832844382
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",2419812.6199999996,42250.06999999999,0.017460058539574025
a) Yaşayış sahəsinin alınmasına,492568.99,1999.57,0.00405947195336028
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",492568.99,1999.57,0.00405947195336028
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,434540.63999999996,7664.709999999999,0.01763864940227455
f) Digər,1492702.9899999998,32585.789999999997,0.021830056091734634
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
