Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,6070454.359999999
1.1,0-3 ay,1211028.28
1.2,3-6 ay,842123.1
1.3,6-12 ay,904616.0
1.4,12-24 ay,1513126.3099999994
1.5,24-36 ay,728949.6699999999
1.6,36 aydan yuxarı,870611.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,4212648.8
2.1,0-3 ay,2135475.9
2.2,3-6 ay,233385.17
2.3,6-12 ay,726176.0
2.4,12-24 ay,664173.1299999999
2.5,24-36 ay,110740.6
2.6,36 aydan yuxarı,342698.0
3.0,“Qəp”,1857805.5599999996
3.1,0-3 ay,-924447.6199999999
3.2,3-6 ay,608737.9299999999
3.3,6-12 ay,178440.0
3.4,12-24 ay,848953.1799999995
3.5,24-36 ay,618209.07
3.6,36 aydan yuxarı,527913.0
