Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,4130937.4400000013
1.1,0-3 ay,499880.5
1.2,3-6 ay,369607.60000000003
1.3,6-12 ay,744024.0
1.4,12-24 ay,1297508.330000001
1.5,24-36 ay,578142.01
1.6,36 aydan yuxarı,641775.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,3095564.4
2.1,0-3 ay,1558599.96
2.2,3-6 ay,510360.26
2.3,6-12 ay,337756.0
2.4,12-24 ay,183534.94999999995
2.5,24-36 ay,155637.22999999998
2.6,36 aydan yuxarı,349676.0
3.0,“Qəp”,1035373.0400000012
3.1,0-3 ay,-1058719.46
3.2,3-6 ay,-140752.65999999997
3.3,6-12 ay,406268.0
3.4,12-24 ay,1113973.380000001
3.5,24-36 ay,422504.78
3.6,36 aydan yuxarı,292099.0
