"Kreditlərin, o cümlədən, vaxtı keçmiş kreditlərin iqtisadi rayonlar üzrə bölgüsü(min manatla)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
№,Müştəri və kreditlər,Cəmi sayı,Cəmi məbləğ,İqtisadi rayonlar üzrə ayrılıqda,,,,,,,,,,,,,,,,,,,
,,,,Bakı-Abşeron,,Quba-Xaçmaz,,Dağlıq Şirvan,,Aran,,Lənkəran-Astara,,Şəki-Zaqatala,,Gəncə-Qazax,,Yuxarı Qarabağ,,Kəlbəcər-Laçın,,Naxçıvan MR,
,,,,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ
1,Hesabat tarixinə  xidmət göstərilən müştərilər,775364,X,353974,X,34433,X,13656,X,158548,X,57315,X,28566,X,75633,X,27116,X,0,X,26123,X
2,Kredit portfeli,1494937,2652560373.5000005,717852,1774248416.3,60947,61134294.9,22889,25958576.95,293455,342772721.5,103737,106498564.4,48238,50550974.04,135277,164372431.79,50483,53715997.8,0,0,62059,73308395.82
3,Vaxtı keçmiş kreditlər,25516,48397851.20000001,9611,25669854.98,1149,1335749.75,554,711851,6466,8229644.22,1928,2087890.38,857,913547.17,3414,4448697.49,823,1038386.97,0,0,714,3962229.24
