Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
A.Aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,181-210 211-240,,241-270,,271-300,,301-330,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"o cümlədən, XV"
,,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi XV (manat ekv.) Cəmi XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilə (manat ekv.)
assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FXAZNEqui-8-,,FXAZNEqui-15-,,FXAZNEqui-31-,,FXAZNEqui-61-,,FXAZNEqui-91-,,FXAZNEqui-121-,,FXAZNEqui-151-,FXAZNEqui-181- FXAZNEqui-211-,,FXAZNEqui-241-,,FXAZNEqui-271-,,FXAZNEqui 301-,FXAZNEqui-331-,,,,,,,,,,,
,,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,,tot-15-30,,tot-31-60,,tot-61-90,,tot-91-120,,tot-121-150,,tot-151-180,,tot-181-210 tot-211-240,tot-241-270,,tot-271-300,,tot-301-300,,tot-331-365,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,,FXAZNEqui-tot
,,,,,,,14,,30,,60,,90,,120,,150,,180,210 240,,270,,300,,330,365,,,,,,,,,,,
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,685 471,248 879,,0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,685 471,,248 879
"şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 059 429,314 566,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,29 233,10 955,1 088 662,,325 521
hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. “Nostro"" hesabları",,83 698,83 698,,0 0,,0 0,,296 296,,809 809,,34 34,7 612,7 612,,9 522 9 522,,257 257,425 425 0 0,,0 0,,5 851 5 851,,0 0,476 476,,979 979,,0 0,,0 0,,0 0,109 958,,109 958
a) Rezident banklara,,18 434,18 434,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,18 434,18 434
b) Qeyri-rezident banklara,,65 264,65 264,,0 0,,0 0,,296 296,,809 809,,34 34,7 612,7 612,,9 522 9 522,,257 257,425 425 0 0,,0 0,,5 851 5 851,,0 0,476 476,,979 979,,0 0,,0 0,,0 0,,91 523,91 523
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daxil olmaqla 7 günədək olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi",,6 057,6 057,,0 0,,0 0,,0 0,,0 0,13 600,0,,0 0,59 500,51 000,54 000,17 000,0 0 22 053 22 053,,8 500 0,,8 500 0,,0 0,0 0,45 500,0,20 000,0,,0 0,,0 0,237 710,,96 110
a) Rezident maliyyə institutlarına,,,0 0,,0 0,,0 0,,0 0,,0 0,13 600,0,,0 0,,8 500 0,37 000,0,0 0 0 0,,8 500 0,,8 500 0,,0 0,0 0,45 500,0,20 000,0,,0 0,,0 0,141 600,,0
a1) müddəti çatmamış depozitlər,,,0 0,,0 0,,0 0,,0 0,,0 0,13 600,0,,0 0,,8 500 0,37 000,0,0 0 0 0,,8 500 0,,8 500 0,,0 0,0 0,45 500,0,20 000,0,,0 0,,0 0,141 600,,0
a2) qaytarılma müddəti bitmiş depozitlər,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,,,0,0
b) Qeyri-rezident maliyyə institutlarına,,6 057,6 057,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,51 000,51 000,17 000,17 000,0 0 22 053 22 053,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,96 110,96 110
b1) müddəti çatmamış depozitlər,,6 057,6 057,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,51 000,51 000,17 000,17 000,0 0 22 053 22 053,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,96 110,96 110
b2) qaytarılma müddəti bitmiş depozitlər,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,,,0,0
6. Əks REPO əməliyyatları üzrə,,,0 0,42 207,0,25 613,0,122 460,0,85 830,85 000,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,276 110,,85 000
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,348 248,32 802,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,318 375,8 568,149 809,73 503,128 907,118 597,,6 594 4 250,951 932,,237 719
kağızlara investisiyalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,79 057,0,,79 057,0
qiymətli kağızlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,8 500 8 500,10 000 0,,0 0,,0 0,,0 0,,0 0,,18 500,8 500
"istisna olmaqla, banklara kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) cari kreditlər,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,8 500 8 500,10 000 0,,0 0,,0 0,,0 0,,0 0,,18 500,8 500
a1) Rezident banklara,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,10 000 0,,0,,0 0,,0 0,,0 0,,10 000,0
a2) Qeyri-rezident banklara,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,8 500 8 500,0 0,,0 0,,0 0,,0 0,,0 0,,8 500,8 500
b) vaxtı keçmiş  kreditlər,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
b1) Rezident banklara,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,,,0,0
b2) Qeyri-rezident banklara,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,,,0,0
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,985,0,,0 0,,0 0,1 600 0 0 0,,0 0,,100 0,,100 0,340 0,1 000,0,,0 0,,0 0,,0 0,,4 125,0
digər maliyyə institutlarına kreditlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) cari kreditlər,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,985,0,,0 0,,0 0,1 600 0 0 0,,0 0,,100 0,,100 0,340 0,1 000,0,,0 0,,0 0,,0 0,,4 125,0
a1) Rezident,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,985,0,,0 0,,0 0,1 600 0 0 0,,0 0,,100 0,,100 0,340 0,1 000,0,,0 0,,0 0,,0 0,,4 125,0
a2) Qeyri-rezident,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
b) vaxtı keçmiş  kreditlər,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
b1)Rezident,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,,,0,0
b2) Qeyri-rezident,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,,,0,0
11. Müştərilərə verilən kreditlər,,83 075,1 376,30 817,18,8 434,37,20 507,28,68 264,3 326,70 703,227,64 350,370,56 822,95,61 485,104,54 010 782 63 164 3 258,48 321,100,80 084,25 978,48 568,68,74 514 6 240,913 962,223 537,253 511,66 955,157 215,25 000,314 218,3 323,2 472 023,,360 820
a) cari kreditlər,,83 075,1 376,30 817,18,8 434,37,20 507,28,68 264,3 326,70 703,227,64 350,370,56 822,95,61 485,104,54 010 782 63 164 3 258,48 321,100,80 084,25 978,48 568,68,74 514 6 240,913 962,223 537,253 511,66 955,157 215,25 000,226 233,0,2 384 039,,357 497
b) vaxtı keçmiş kreditlər,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,87 984,3 323,,87 984,3 323
12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,65 022,0,,65 022,0
olunmayan əsas vəsaitlər daxil olmaqla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
