"","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ilə (manat ekv.)"
"assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","FXAZNEqui-8-","","","FXAZNEqui-15-","","","FXAZNEqui-31-","","","FXAZNEqui-61-","","","FXAZNEqui-91-","","","FXAZNEqui-121-","","","FXAZNEqui-151-","","","FXAZNEqui-181-","","","FXAZNEqui-211-","","","FXAZNEqui-241-","","","FXAZNEqui-271-","","","FXAZNEqui 301-","","","FXAZNEqui-331-","","","","","","","","","","",""
"","tot-ins","FXAZNEqui-ins","tot-1-7","FXAZNEqui-1-7","tot-8-14","","","tot-15-30","","","tot-31-60","","","tot-61-90","","","tot-91-120","","","tot-121-150","","","tot-151-180","","","tot-181-210","","","tot-211-240","","","tot-241-270","","","tot-271-300","","","tot-301-300","","","tot-331-365","","","tot-1-2","FXAZNEqui-1-2","Tot-2-3","FXAZNEqui-2-3","tot-3-5","FXAZNEqui-3-5","tot>5","FXAZNEqui>5","tot-tot","FXAZNEqui-tot"
"6. Əks REPO əməliyyatları üzrə","0","0","42 207","0","25 613","","0","122 460","","0","85 830","","85 000","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","276 110","85 000"
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","348 248","32 802","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","318 375","8 568","149 809","73 503","128 907","118 597","6 594","4 250","951 932","237 719"
"kağızlara investisiyalar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","79 057","0","79 057","0"
"qiymətli kağızlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","8 500","","8 500","10 000","","0","0","0","0","0","0","0","0","0","18 500","8 500"
"istisna olmaqla, banklara kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) cari kreditlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","8 500","","8 500","10 000","","0","0","0","0","0","0","0","0","0","18 500","8 500"
"a1) Rezident banklara","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","10 000","","0","0","","0","0","0","0","0","0","10 000","0"
"a2) Qeyri-rezident banklara","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","8 500","","8 500","0","","0","0","0","0","0","0","0","0","0","8 500","8 500"
"b) vaxtı keçmiş  kreditlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
