Bank,Period,Indicator table,Element,Sub-element,AZN,FS Line,Item,Currency,Amount vs Share,Total,31-60 days,61-90 days,91+ days,31-60 days_share%inLP,61-90 days_share%inLP,91+ days_share%inLP
abb_bank,2022_Q2,Balance Sheet,1,ASSETS,12082954.6099999994,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.1,ASSETS,4259541.2300000004,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.10,ASSETS,332182.14,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.2,ASSETS,1405561.1100000001,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.3,ASSETS,9120483.0700000003,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.4,ASSETS,15645.48,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5,ASSETS,3440840.2599999998,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.1,ASSETS,870791.64,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.2,ASSETS,1772983.6200000001,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.3,ASSETS,797065,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.4,ASSETS,50121.73,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.5,ASSETS,-107668.58,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.6,ASSETS,183080.24,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.7,ASSETS,15881.82,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.8,ASSETS,0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2,LIABILITY,10523437.0700000003,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.1,LIABILITY,2803076.9500000002,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.1.1,LIABILITY,1689502.99,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.1.2,LIABILITY,7430980.0800000001,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.2,LIABILITY,78800,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.3,LIABILITY,450711.74,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.4,LIABILITY,610012.2,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.5,LIABILITY,17398.36,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.6,LIABILITY,16077.53,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.7,LIABILITY,0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.8,LIABILITY,12082954.6099999994,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3,EQUITY,1559517.54,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.1,EQUITY,1225647.8200000001,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.2,EQUITY,0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.3,EQUITY,179706.99,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4,EQUITY,154162.73,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4.2,EQUITY,32733.34,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1,ASSETS,895341,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.1,ASSETS,105210,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.10,ASSETS,37668,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.2,ASSETS,1669,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.3,ASSETS,588351,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.5,ASSETS,604053,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.5.1,ASSETS,61741,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.5.2,ASSETS,536504,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.5.3,ASSETS,5808,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.5.4,ASSETS,6402,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.5.5,ASSETS,-71652,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.6,ASSETS,63740,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,1.7,ASSETS,39250,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2,LIABILITY,798634,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2.1,LIABILITY,115403,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2.1.1,LIABILITY,497597,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2.1.2,LIABILITY,90754,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2.2,LIABILITY,8520,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2.3,LIABILITY,166996,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2.7,LIABILITY,21994,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,2.8,LIABILITY,895341,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,3,EQUITY,96707,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,3.1,EQUITY,258718,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,3.3,EQUITY,-168987,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,3.4,EQUITY,6976,,,,,,,,,,,
access_bank,2020_Q1,Balance Sheet,3.4.2,EQUITY,574,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1,ASSETS,851162,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.1,ASSETS,123038,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.10,ASSETS,42253,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.2,ASSETS,8080,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.3,ASSETS,558288,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.5,ASSETS,535305,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.5.1,ASSETS,51137,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.5.2,ASSETS,476687,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.5.3,ASSETS,7481,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.5.4,ASSETS,6040,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.5.5,ASSETS,-60595,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.6,ASSETS,60574,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,1.7,ASSETS,39439,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2,LIABILITY,756174,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2.1,LIABILITY,103068,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2.1.1,LIABILITY,471556,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2.1.2,LIABILITY,86732,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2.2,LIABILITY,8520,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2.3,LIABILITY,153576,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2.7,LIABILITY,21994,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,2.8,LIABILITY,851162,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,3,EQUITY,94988,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,3.1,EQUITY,258718,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,3.3,EQUITY,-170330,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,3.4,EQUITY,6600,,,,,,,,,,,
access_bank,2020_Q2,Balance Sheet,3.4.2,EQUITY,560,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1,ASSETS,902114,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.1,ASSETS,133223,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.10,ASSETS,64912,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.2,ASSETS,38319,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.3,ASSETS,606338,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.5,ASSETS,533734,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.5.1,ASSETS,55408,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.5.2,ASSETS,470873,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.5.3,ASSETS,7453,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.5.4,ASSETS,5895,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.5.5,ASSETS,-59158,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.6,ASSETS,59953,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,1.7,ASSETS,13966,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2,LIABILITY,805765,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2.1,LIABILITY,117165,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2.1.1,LIABILITY,488788,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2.1.2,LIABILITY,117550,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2.2,LIABILITY,8520,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2.3,LIABILITY,152515,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2.7,LIABILITY,21994,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,2.8,LIABILITY,902114,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,3,EQUITY,96349,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,3.1,EQUITY,258718,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,3.3,EQUITY,-168822,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,3.4,EQUITY,6453,,,,,,,,,,,
access_bank,2020_Q3,Balance Sheet,3.4.2,EQUITY,558,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1,ASSETS,855854,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.1,ASSETS,152025,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.10,ASSETS,49510,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.2,ASSETS,41762,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.3,ASSETS,627561,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.5,ASSETS,502582,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.5.1,ASSETS,52851,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.5.2,ASSETS,442385,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.5.3,ASSETS,7346,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.5.4,ASSETS,5759,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.5.5,ASSETS,-43807,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.6,ASSETS,59737,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.7,ASSETS,13647,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,1.8,ASSETS,24928,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2,LIABILITY,760030,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2.1,LIABILITY,55470,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2.1.1,LIABILITY,497063,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2.1.2,LIABILITY,130498,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2.2,LIABILITY,8520,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2.3,LIABILITY,87167,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2.7,LIABILITY,21994,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,2.8,LIABILITY,855854,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,3,EQUITY,95824,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,3.1,EQUITY,258718,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,3.3,EQUITY,-169239,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,3.4,EQUITY,6345,,,,,,,,,,,
access_bank,2020_Q4,Balance Sheet,3.4.2,EQUITY,586,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1,ASSETS,847944,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.1,ASSETS,143385,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.10,ASSETS,42180,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.2,ASSETS,38900,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.3,ASSETS,613751,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.4,ASSETS,1000,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.5,ASSETS,519888,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.5.1,ASSETS,56422,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.5.2,ASSETS,456213,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.5.3,ASSETS,7253,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.5.4,ASSETS,5664,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.5.5,ASSETS,-42653,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.6,ASSETS,62006,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.7,ASSETS,14309,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,1.8,ASSETS,24928,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2,LIABILITY,752219,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2.1,LIABILITY,44001,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2.1.1,LIABILITY,496321,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2.1.2,LIABILITY,117430,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2.2,LIABILITY,8520,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2.3,LIABILITY,92014,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2.7,LIABILITY,21994,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,2.8,LIABILITY,847944,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,3,EQUITY,95725,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,3.1,EQUITY,258718,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,3.3,EQUITY,-169104,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,3.4,EQUITY,6111,,,,,,,,,,,
access_bank,2021_Q1,Balance Sheet,3.4.2,EQUITY,447,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1,ASSETS,885912,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1.1,ASSETS,144728,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1.10,ASSETS,34085,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1.2,ASSETS,36509,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1.3,ASSETS,625918,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1.4,ASSETS,890,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1.5,ASSETS,545630,,,,,,,,,,,
access_bank,2021_Q2,Balance Sheet,1.5.1,ASSETS,63846,,,,,,,,,,,
