Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,3409553.8899999997
1.1,0-3 ay,742882.7
1.2,3-6 ay,408813.17
1.3,6-12 ay,420815.0
1.4,12-24 ay,1025936.5899999997
1.5,24-36 ay,428145.43000000005
1.6,36 aydan yuxarı,382961.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,1991957.6199999994
2.1,0-3 ay,646131.4099999999
2.2,3-6 ay,491531.35999999987
2.3,6-12 ay,362924.0
2.4,12-24 ay,169897.06999999957
2.5,24-36 ay,77593.78
2.6,36 aydan yuxarı,243880.0
3.0,“Qəp”,1417597.2700000005
3.1,0-3 ay,96751.29000000004
3.2,3-6 ay,-82718.18999999989
3.3,6-12 ay,57892.0
3.4,12-24 ay,856039.5200000001
3.5,24-36 ay,350551.65
3.6,36 aydan yuxarı,139081.0
