"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",2175950.66,54430.14,0.03
1.Sənaye ,330110.74999999994,58.96,0
1.1.1 Mədən çıxarma sənayesi,1665.35,8.14,0
"1.1.2 Emal sənayesi, cəmi",274778.49,50.82,0
1.1.3 Elektrik enerjisi və Qazın istehsalı ,3210.05,0,0
1.1.4 Sənayenin digər sahələri,50456.86,0,0
2. Kənd təsərrüfatı,17376.37,11027.68,0.01
3. Tikinti sahəsi,61456.3,2369.23,0
"4. Nəqliyyat, cəmi",15498.3,0,0
5. İnformasiya və Rabitə,47451.75,0,0
"6. Ticarət müəssisələrinə kredit, cəmi",81903.58,3079.6,0
7. Digər qeyri-istehsal və xidmət sahələri ,28279.67,360.78,0
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",1593873.94,37533.89,0.02
a) Yaşayış sahəsinin alınmasına,228029.10999999996,2008.6199999999997,0
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",228029.10999999996,2008.6199999999997,0
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,339272.95999999996,5955.129999999999,0
f) Digər,1026571.8700000001,29570.14,0.02
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
