B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
liaAndCap,Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"XV (manat 
ekv.)",Cəmi,"o cümlədən, 
XV ilə (manat"
,tot-insLia,"FXAZNEqui-
insLia",tot-0.25,"FXAZNEqui-
0.25",tot-0.5,"FXAZNEqui-
0.5",tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,"FXAZNEqui-
10",tot-11,"FXAZNEqui-
11",tot-12,"FXAZNEqui-
12",tot-24,"FXAZNEqui-
24",tot-36,"FXAZNEqui-
36",tot-60,"FXAZNEqui-
60",tot>60,"FXAZNEqui>6
0",tot-totLia,"FXAZNEqui-
totLia"
"1. Depozitlər (banklar və digər maliyyə müəssisələri 
istisna olmaqla), cəmi","2,545,866.29","738,613.49",0.00,0.00,0.00,0.00,0.00,0.00,"29,201.82","13,454.47","84,222.40","39,721.24","196,324.52","181,924.20","23,821.43","5,178.13","27,616.70","5,356.14","87,613.97","75,321.92","17,279.69","4,711.87","20,576.88","3,294.07","20,417.79","3,514.65","55,600.34","40,119.60","48,794.20","15,758.69","94,138.58","35,608.29","51,235.96","15,325.45","5,567.77","3,897.25",0.00,0.00,"3,308,278.34","1,181,799.46"
a) fiziki şəxslərin tələbli depozitlər,"517,633.00","134,042.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"517,633.00","134,042.08"
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-
bank maliyyə institutlarının cari hesabları da daxil 
olmaqla) və çek hesabları  daxil olmaqla)","2,028,233.29","604,571.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,028,233.29","604,571.41"
"c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli 
depozitlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"24,201.82","13,454.47","80,522.40","38,021.24","17,591.68","4,191.36","23,471.43","5,178.13","27,616.70","5,356.14","15,703.97","3,411.92","17,279.69","4,711.87","20,576.88","3,294.07","20,417.79","3,514.65","21,155.31","3,874.57","48,384.20","15,758.69","94,138.58","35,608.29","47,156.48","11,296.92","3,326.16","1,655.64",0.00,0.00,"461,543.09","149,327.96"
"d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli 
depozitlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,000.00",0.00,"3,700.00","1,700.00","178,732.84","177,732.84",350.00,0.00,0.00,0.00,"71,910.00","71,910.00",0.00,0.00,0.00,0.00,0.00,0.00,"34,445.03","36,245.03",410.00,0.00,0.00,0.00,"4,079.48","4,028.53","2,241.61","2,241.61",0.00,0.00,"300,868.96","293,858.01"
"e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli 
depozitlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətli 
depozitlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2. AMB-nın kreditləri,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,"2,159.87",0.00,,0.00,"2,159.87",XXX
