Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,6447200.990000002
1.1,0-3 ay,1594682.4200000002
1.2,3-6 ay,658846.37
1.3,6-12 ay,716086.5399999999
1.4,12-24 ay,1704236.8900000015
1.5,24-36 ay,673769.42
1.6,36 aydan yuxarı,1099579.35
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,5815295.42
2.1,0-3 ay,4217732.399999999
2.2,3-6 ay,134660.46
2.3,6-12 ay,698803.1
2.4,12-24 ay,228332.16000000003
2.5,24-36 ay,87054.93999999997
2.6,36 aydan yuxarı,448712.36
3.0,“Qəp”,631905.5700000022
3.1,0-3 ay,-2623049.9799999995
3.2,3-6 ay,524185.91000000003
3.3,6-12 ay,17283.439999999944
3.4,12-24 ay,1475904.7300000014
3.5,24-36 ay,586714.4800000001
3.6,36 aydan yuxarı,650866.9900000001
