Likvidlik riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,min manatla
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,935496.5800000001,810710.5900000001,782552.9199999999,694910.96,450478.91000000003,330768.83,1885895.9500000014,1221703.5799999998,1346921.6500000004,8459439.970000003
1.1,Nağd pul və ekvivalentləri,777289.56,0,0,0,0,0,0,0,0,777289.56
1.2,Qiymətli kağızlar,0,4116.4,512924.98000000004,355585.88999999996,168700.02,32978.20000000001,321283.5,443259.93000000005,197371.58000000002,2036220.5
1.3,Müştərilərə verilmiş kreditlər (xalis),15473.289999999999,37730.74,255017.47999999998,295730.07,258725.26,275597.36,1489606.3200000015,777254.45,511430.04000000004,3916565.0100000016
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),0,44.03,220,7595,4053.63,2193.2699999999995,12731.130000000001,1189.2,0,28026.260000000002
1.5,Əks REPO əməliyyatları üzrə,0,164341.92,14390.460000000001,0,0,0,0,0,0,178732.38
1.6,Qısamüddətli maliyyə alətləri,,604477.5,0,0,0,0,0,0,0,604477.5
1.7,Törəmə maliyyə alətləri,,,,,,0,,,,0
1.8,Bankın depozitləri,23533.550000000003,0,0,36000,19000,20000,62275,0,0,160808.55
1.9,"“Nostro"" hesabları ",119200.17999999992,0,0,0,0,0,0,0,596043.29,715243.47
1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,0,0,0,0,0,0,0,0,-477629.238,-477629.238
1.9.2,Digər maliyyə aktivlər,0,0,0,0,0,0,0,0,519705.9780000001,519705.9780000001
2,Öhdəliklər,5620642.08,87627.34,299664.92999999993,134660.46,511959.3499999999,186843.74999999994,228332.16000000003,146738.87999999998,389028.42,7605497.37
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,0,0,0,0,0,0,1079.94,0,0,1079.94
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,0,84682.27,104628.43,36000,17300,23000.5,106837.56,578.4300000000001,389028.42,762055.61
2.3,Müştərilərin depozitləri:,5320875.92,2945.0699999999997,195036.49999999997,98660.45999999999,494659.3499999999,163843.24999999994,120414.66000000003,86660.44999999998,0,6483095.66
2.3.1,tələbli depozitlər,5320875.42,0,0,0,0,0,0,0,0,5320875.42
2.3.2,müddətli depozitlər,0.5,2945.0699999999997,195036.49999999997,98660.45999999999,494659.3499999999,163843.24999999994,120414.66000000003,86660.44999999998,0,1162220.24
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0,0,0,59500,0,59500
2.5,Borc qiymətli kağızları,0,0,0,0,0,0,0,0,0,0
2.6," “Loro"" hesabları",5066.75,0,0,0,0,0,0,0,0,5066.75
2.7,Digər maliyyə öhdəliklər,294699.41,0,0,0,0,0,0,0,0,294699.41
2.8,Kapital,,,,,,,,,853942.5999999999,853942.5999999999
3,"Likvidlik ""qəpi""",-4685145.5,723083.2500000001,482887.99,560250.5,-61480.439999999886,143925.08000000007,1657563.7900000014,1074964.7,957893.2300000004,853942.6000000022
