Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,3511229.0600000005
1.1,0-3 ay,989476.61
1.2,3-6 ay,371345.25
1.3,6-12 ay,437627.0
1.4,12-24 ay,834634.4300000007
1.5,24-36 ay,391309.77
1.6,36 aydan yuxarı,486836.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,1787672.2000000002
2.1,0-3 ay,308664.39
2.2,3-6 ay,289156.57999999996
2.3,6-12 ay,699235.0
2.4,12-24 ay,163122.40000000002
2.5,24-36 ay,90349.83
2.6,36 aydan yuxarı,237144.0
3.0,“Qəp”,1723555.8600000008
3.1,0-3 ay,680812.22
3.2,3-6 ay,82188.67000000004
3.3,6-12 ay,-261609.0
3.4,12-24 ay,671512.0300000007
3.5,24-36 ay,300959.94
3.6,36 aydan yuxarı,249692.0
