"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",2210328.5999999996,82492.99999999999,0.03
1.Sənaye ,328204.23,50.82,0
1.1.1 Mədən çıxarma sənayesi,5444.03,0,0
"1.1.2 Emal sənayesi, cəmi",271761.73,50.82,0
1.1.3 Elektrik enerjisi və Qazın istehsalı ,834.86,0,0
1.1.4 Sənayenin digər sahələri,50163.61,0,0
2. Kənd təsərrüfatı,19032.02,12700.63,0.01
3. Tikinti sahəsi,74857.19,2707.21,0
"4. Nəqliyyat, cəmi",15378.71,0,0
5. İnformasiya və Rabitə,58535.41,9.11,0
"6. Ticarət müəssisələrinə kredit, cəmi",75588.63,4519.62,0
7. Digər qeyri-istehsal və xidmət sahələri ,25639.05,363.92,0
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",1613093.3599999996,62141.68999999999,0.02
a) Yaşayış sahəsinin alınmasına,208068.89999999997,1711.8200000000002,0
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",208068.89999999997,1711.8200000000002,0
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,334835.04,9377.390000000001,0
f) Digər,1070189.4199999997,51052.47999999999,0.02
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
