"Kreditlərin, o cümlədən, vaxtı keçmiş kreditlərin iqtisadi rayonlar üzrə bölgüsü",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
№,Müştəri və kreditlər,Cəmi sayı,Cəmi məbləğ,İqtisadi rayonlar üzrə ayrılıqda,,,,,,,,,,,,,,,,,,,
,,,,Bakı-Abşeron,,Quba-Xaçmaz,,Dağlıq Şirvan,,Aran,,Lənkəran-Astara,,Şəki-Zaqatala,,Gəncə-Qazax,,Yuxarı Qarabağ,,Kəlbəcər-Laçın,,Naxçıvan MR,
,,,,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ
1,Hesabat tarixinə  xidmət göstərilən müştərilər,981662,X,385920,X,48326,X,18077,X,221508,X,79368,X,38683,X,107062,X,37466,X,0,X,45252,X
2,Kredit portfeli,1345865,2154115.8400000003,480221,1321273.4504370007,69340,56990.2638,25800,27761.06206,334227,322932.009936,121032,98995.89156100001,53796,52144.771272,150626,165332.317694,55339,53590.620969999996,0,0,55484,55095.45227
3,Vaxtı keçmiş kreditlər,116197,84529.87999999999,41442,65312.18667778278,5812,963.5750650969577,2212,359.33821163735206,34161,5467.832078464021,9519,1476.1103369509572,3584,1039.741482332416,12746,3367.2890730526897,4398,800.2798909601909,0,0,2323,5743.5271837226255
