Valyuta riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,min manatla,Unnamed: 6
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,7822171.8100000005,6223727.04,1477316.53,105092.62999999999,16036.03
1.1,Nağd və nağd pul ekvivalentləri,1754508.7799999998,1210124.88,425491.19,103163.7,15729.01
1.2,Qiymətli kağızlar,2475054.68,1783145.77,691908.9100000001,0,0
1.3,Müştərilərə verilmiş kreditlər,2789576.640000001,2488482.1100000013,300806.93999999994,287.59,0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər/depozitlər,376481.07,351163.4,25317.670000000002,0,0
1.5,Törəmə maliyyə alətləri,0,0,0,0,0
1.6,Qısa müddətli maliyyə alətləri,0,0,0,0,0
1.7,Əsas vəsaitlər,104145.88,104145.88,0,0,0
1.8,Digər aktivlər,322405.28,286665.1,33791.82,1641.34,307.02
2,Öhdəliklər,6995519.22,5559042.2700000005,1316843.25,104465.44000000002,15166.26
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,1079.94,1079.94,,,
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,560028.84,319292.94,218185.27,22549.730000000003,0.9
2.3,Müştərilərin depozitləri,6098625.560000001,4980710.8100000005,1021683.16,81504.69,14726.900000000001
2.3.1,a) tələbli depozitlər,5259788.660000001,4447039.390000001,716517.68,81504.69,14726.900000000001
2.3.2,b) müddətli depozitlər,838836.9,533671.42,305165.48,0,0
2.4,Subordinasiya öhdəlikləri,68000,0,68000,0,0
2.5,Borc qiymətli kağızları,0,0,0,0,0
2.6,Digər öhdəliklər,267784.88,257958.58000000002,8974.820000000007,411.02,438.46
3,Balans kapital ,826653.24,818793.3200000001,7321.91,404.74,133.84
,Öhdəliklərin və kapitalın cəmisi,7822171.8100000005,6377835.29,1324165.16,104870.18000000002,15300.1
,,,,,,
faizlə,,,,,,
3,Açıq valyuta mövqeyi əmsalı,,,0.05270902984588381,-0.012003707323715787,0.0009
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),0.05349299935873567,,,,
3.2,Qapalı valyuta üzrə məcmu AVM,0.0002,,,,
3.3,Qiymətli metallar üzrə AVM,0,,,,
3.4,Məcmu AVM,0.05369299935873567,0,0.05270902984588381,-0.012003707323715787,0.0009
