,"784.132,68","133.778,53","0,00",,"0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","784.132,68","133.778,53"
"mübadiləsi şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"575.224,61","224.099,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264.138,67","55.492,50","839.363,28","279.592,34"
hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1) müddəti çatmamış depozitlər,"6.463,47","6.463,47","10.354,20","10.354,20","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","16.817,67","16.817,67"
b2) qaytarılma müddəti bitmiş depozitlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
6. Əks REPO əməliyyatları üzrə,"0,00","0,00","16.540,08","0,00","11.137,14",,"0,00","10.000,00","0,00","6.900,03","0,00","506,87","0,00","0,00","0,00","9.993,59","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55.077,71","0,00"
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,00","0,00","13.913,63","0,00","16.099,35",,"0,00","173.266,32","84.325,40","98.615,16","0,00","51.787,33","15,30","65.989,67","0,00","74.489,79","0,00","31.020,17","374,00","100.561,00","0,00","48.698,72","0,00","18.205,48","1.193,40","9.724,90","0,00","294.788,28","1.700,00","123.408,47","17.000,00","414.069,15","238.444,55","390.571,00","121.561,90","250.514,92","149.149,15","5.325,40","0,00","2.181.048,74","613.763,70"
qiymətli kağızlara investisiyalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","82.217,55","82.217,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","215.860,73","0,00","298.078,28","82.217,55"
üçün qiymətli kağızlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
