B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
"3. “Loro"" hesabları (bankların müxbir hesabları)","5.086,57","5.086,57","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5.086,57","5.086,57"
a) Rezident bankların,"4.011,06","4.011,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.011,06","4.011,06"
b) Qeyri-rezident bankların,"1.075,51","1.075,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.075,51","1.075,51"
4. REPO əməliyyatları üzrə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
"5. Banklararası bazarın qazanılmış qısamüddətli maliyyə 
alətləri (7-ci gün də daxil olmaqla 7 günədək  olanlar)",,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
6. Bankların və digər maliyyə institutların depozitləri,"0,00","0,00","0,00","0,00","0,00","0,00","9.057,00","9.057,00","0,00","0,00","42.500,00","42.500,00","17.000,00","17.000,00","8.500,00","8.500,00","20.700,51","20.700,51","20.000,50","20.000,50","0,00","0,00","0,00","0,00","463,65","463,65","0,00","0,00","24,65","24,65","81.200,50","81.200,50","41.599,40","36.196,75","7,77","0,00","5,77","5,77","241.059,75","235.649,33"
a) Rezident maliyyə institutları,"0,00","0,00","0,00","0,00","0,00","0,00","9.057,00","9.057,00","0,00","0,00","42.500,00","42.500,00","17.000,00","17.000,00","8.500,00","8.500,00","20.700,51","20.700,51","20.000,50","20.000,50","0,00","0,00","0,00","0,00","463,65","463,65","0,00","0,00","24,65","24,65","81.200,50","81.200,50","41.599,40","36.196,75","7,77","0,00","5,77","5,77","241.059,75","235.649,33"
b) Qeyri-rezident maliyyə institutları,,,"0,00","0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
"7. Banklardan alınmış kreditlər (7 gündən artıq müddətli 
olanlar)","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
a) Rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
b) Qeyri-rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə 
institutlarından alınmış kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"313.882,27",,"313.882,27","0,00"
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
10. Bələdiyyələrin kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
"11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka 
kreditləri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank 
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən 
olan borc öhdəlikləri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.500,00","59.500,00","0,00","0,00","59.500,00","59.500,00"
13. Digər passivlər,"267.784,07","18.323,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.500,00","8.500,00",,,"276.284,07","26.823,94"
14. Kapital,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","826.645,85",,"826.645,85",XXX
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"5.543.793,97","845.385,18","995,64","331,72","4.564,07","524,34","71.772,23","43.454,54","73.034,51","3.478,70","55.271,45","47.016,86","74.415,61","20.944,47","40.432,51","28.644,10","229.855,67","192.064,57","83.740,23","24.997,98","26.702,34","5.454,25","22.308,76","2.970,94","20.437,30","5.425,66","34.422,56","5.972,43","31.840,73","6.973,90","168.004,69","99.099,20","91.935,91","44.199,94","108.102,35","68.030,43","1.140.533,89","5,77","7.822.164,42","1.444.974,98"
"16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) 
xalis məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəl 
A13-B)","-4.047.246,79","-364.536,11","80.956,11","35.036,48","33.637,82","-524,34","146.715,91","41.137,71","160.234,53","-1.743,54","101.940,69","-45.248,42","96.258,89","-18.397,65","132.021,41","-27.800,87","-86.415,06","-179.758,80","139.753,38","486,34","92.379,54","-4.451,32","66.448,56","-1.009,45","178.460,89","77.046,64","329.226,23","5.388,74","184.499,00","13.282,56","1.556.466,14","363.842,54","705.629,76","87.900,26","351.209,92","84.256,40","-222.176,93","89.373,17","0,00","154.280,34"
