Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,5748393.73
1.1,0-3 ay,916669.59
1.2,3-6 ay,710062.6399999999
1.3,6-12 ay,1210220.0
1.4,12-24 ay,1724470.8300000005
1.5,24-36 ay,797565.6699999999
1.6,36 aydan yuxarı,389405.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,3736197.3
2.1,0-3 ay,1884982.87
2.2,3-6 ay,643207.07
2.3,6-12 ay,417927.0
2.4,12-24 ay,254808.87999999986
2.5,24-36 ay,141192.48
2.6,36 aydan yuxarı,394079.0
3.0,“Qəp”,2012196.4300000004
3.1,0-3 ay,-968313.2800000001
3.2,3-6 ay,66855.56999999995
3.3,6-12 ay,792293.0
3.4,12-24 ay,1469661.9500000007
3.5,24-36 ay,656373.19
3.6,36 aydan yuxarı,-4674.0
