"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",3234143.1500000004,80183.40100000001,0.024792780430884762
1.Sənaye ,255103,55.84,0.00021889197696616663
1.1.1 Mədən çıxarma sənayesi,0,0,0
"1.1.2 Emal sənayesi, cəmi",219534,55.84,0.0002543569560979165
1.1.3 Elektrik enerjisi və Qazın istehsalı ,0,0,0
1.1.4 Sənayenin digər sahələri,35569,0,0
2. Kənd təsərrüfatı,22827,5281,0.23134884128444386
3. Tikinti sahəsi,162678,93.14,0.0005725420769864395
"4. Nəqliyyat, cəmi",5779,0,0
5. İnformasiya və Rabitə,34182,0,0
"6. Ticarət müəssisələrinə kredit, cəmi",155322,1945.03,0.012522566024130516
7. Digər qeyri-istehsal və xidmət sahələri ,356228.99,1624.661,0.004560720900339975
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",2242023.16,71183.73000000001,0.031749774609821604
a) Yaşayış sahəsinin alınmasına,375366.11999999994,1462.83,0.0038970752075333814
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",375366.11999999994,1462.83,0.0038970752075333814
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,453133.23,13884.140000000001,0.03064030417720634
f) Digər,1413523.81,55836.76,0.03950181780100329
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
