Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",3234143.1499999994,2973995.6,179964.14999999997,23011.440000000002,14591.369999999999,6098.95,6535.79,4229.38,3993.91,5429.57,2410.48,1852.32,2981.37,2026.4099999999999,7022.410000000001
  -Biznes,992119.9899999998,970652.2199999997,12468.099999999991,952.3100000000006,1013.7800000000015,218.03999999999996,7.75,264.84000000000015,0,0,0,0,1153.5,0,5389.450000000001
  -İstehlak,1866657.0399999998,1640654.45,156281.69,21119.08,13536.469999999998,5880.91,6528.04,3964.54,3993.91,5163.44,2410.48,1778.01,1827.87,2026.4099999999999,1491.74
  -Daşınmaz əmlak,375366.11999999994,362688.93,11214.36,940.05,41.12,0,0,0,0,266.13,0,74.31,0,0,141.22
  -Digər kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",3234143.1500000004,2388923.0300000003,50610,0,447294.11999999994,347316,0,0,,,,,,,
  -Biznes,992119.99,563466.99,30009,0,71928,326716,0,0,,,,,,,
  -İstehlak,1866657.04,1825456.04,20601,0,0,20600,0,0,,,,,,,
  -Daşınmaz əmlak,375366.11999999994,0,0,0,375366.11999999994,0,0,0,,,,,,,
  -Digər kreditlər,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,
,,0,0,,,,,,,,,,,,
