,tot-insLia,,tot-0.25,FXAZNEqui-0.25,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7 FXAZNEqui-7 tot-8 FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12 FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,,
,,insLia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,totLia
1. Depozitlər (banklar və digər maliyyə müəssisələri istisna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Bankların və digər maliyyə institutların depozitləri,,0 0,,0 0,1 776,1 776,,0 0,,0 0,,0 0,,0 0,,0 0,34 000,34 000,25 500 25 500 8 500 8 500,18 636,18 636,20 001,20 001,,0 0,0 0,54 001,54 001,41 330,35 105,8 537,8 500,,0 0,212 280,,206 018
a) Rezident maliyyə institutları,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,34 000,34 000,25 500 25 500 8 500 8 500,18 636,18 636,20 001,20 001,,0 0,0 0,54 001,54 001,41 330,35 105,8 537,8 500,,0 0,210 504,,204 242
b) Qeyri-rezident maliyyə institutları,,,,0 0,1 776,1 776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 776,1 776
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
a) Rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
b) Qeyri-rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295 693,,295 693,,0
institutlarından alınmış kreditlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
10. Bələdiyyələrin kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən olan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 500,59 500,59 500,,59 500
borc öhdəlikləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. Digər passivlər,242 412,10 760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 500,8 500,,,250 912,,19 260
14. Kapital,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,716 073,,716 073,,XXX
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),5 607 714,804 032,3 561,1 007,6 199,3 407,13 459,2 781,26 236,4 277,21 466,4 629,79 880,46 457,58 512,3 718,48 072,39 189,83 832 29 658 41 712 29 022,210 810,190 428,85 521,25 660,28 060,6 054,36 385 5 471,147 101,70 517,93 459,44 333,58 218,17 351,1 071 266,59 500,7 721 463,,1 387 491
16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-4 014 702,-448 274,138 202,51 686,35 013,-3 406,57 340,16 331,324 718,-504,171 320,84 935,173 364,67 257,104 108,-2 869,109 811,-30 880,34 870 -29 198 65 499 -25 662,-117 733,-189 232,126 941,-531,41 201,3 616,437 784 79 818,1 581 634,407 892,608 904,103 992,338 503,107 788,-216 776,23 232,,0,215 990
"məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəl A13-B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
