"Kreditlərin, o cümlədən, vaxtı keçmiş kreditlərin iqtisadi rayonlar üzrə bölgüsü(min manatla)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
№,Müştəri və kreditlər,Cəmi sayı,Cəmi məbləğ,İqtisadi rayonlar üzrə ayrılıqda,,,,,,,,,,,,,,,,,,,
,,,,Bakı-Abşeron,,Quba-Xaçmaz,,Dağlıq Şirvan,,Aran,,Lənkəran-Astara,,Şəki-Zaqatala,,Gəncə-Qazax,,Yuxarı Qarabağ,,Kəlbəcər-Laçın,,Naxçıvan MR,
,,,,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ
1,Hesabat tarixinə  xidmət göstərilən müştərilər,882258,X,750474,X,51618,X,16128,X,224936,X,82525,X,37341,X,104530,X,40621,X,0,X,47864,X
2,Kredit portfeli,1008001,3234143149.0899997,871974,2271744240.93,62008,67079036.14,18827,25091668.869999997,276659,376886705.93,101408,114147006.19,42968,52984286.419999994,124175,190375903.4,49013,58894663.6,0,0,57127,76939637.61
3,Vaxtı keçmiş kreditlər,27216,42580564.99999999,18387,24447987.54,643,1108882.31,387,582304.38,3381,5803806.12,874,1289669.22,667,1052789.98,1949,4138543.5,450,710600.33,0,0,478,3445981.62
