No,Müştəri və kreditlər,Cəmi sayı,Cəmi məbləğ,İqtisadi rayonlar üzrə ayrılıqda,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,Bakı-Abşeron,Quba-Xaçmaz,Dağlıq Şirvan,Aran,Lənkəran-Astara,Şəki-Zaqatala,Gəncə-Qazax,Yuxarı Qarabağ,Kəlbəcər-,Naxçıvan MR,,,,,,,,,,
,,,,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məb,Sayı,Məbləğ
1.0,Hesabat tarixinə  xidmət göstərilən müştərilər,"1,496,791",X,"1,076,284",X,"35,527",X,"12,139",X,"154,621",X,"54,612",X,"27,986",X,"72,554",X,"24,998",X,46,X,"38,024",X
2.0,Kredit portfeli,"1,864,617","4,783,112","1,344,544","3,615,387","44,571","73,005","14,579","24,055","194,583","381,089","68,150","119,446","32,341","63,701","87,080","219,083","31,331","55,993",59,181,"47,379","231,173"
3.0,Vaxtı keçmiş kreditlər,"27,445","56,354","20,559","35,226",518,"1,976",225,375,"2,411","5,244",739,"1,523",460,857,"1,470","3,854",336,834,0,0,727,"6,464"
