,,,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,gün,181-210 gün,211-240 gün,241-270 gün,gün,gün,(366) gün,artıq
"Kredit portfeli, o cümlədən",,,"4,783,112","4,440,450","248,655","22,565","14,946","7,543","6,601","7,777","3,981","3,643","3,232","3,109","2,964","4,874","12,773"
-Biznes,,,"1,610,211","1,554,499","35,786","2,011","3,427",896,"1,308","2,827",166,482,225,647,191,"2,035","5,710"
-İstehlak,,,"2,562,435","2,317,183","173,821","19,377","10,493","6,504","5,265","4,950","3,815","3,161","3,007","2,461","2,773","2,839","6,785"
-Daşınmaz əmlak,,,"610,467","568,767","39,048","1,178","1,025",143,28,,,,,,-,,278
-Digər kreditlər,,,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,Kredit,,,,,,,
,Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,,Təminatsız,Nağd vəsaitlə təmin,Qızıl təminatlı,Daşınmaz əmlakla,Daşınar əmlakla təmin,Qarantiyalar ilə,törəmə,,,,,,,
,,,,,olunan,,təmin olunan,olunan,təmin olunan,alətləri ilə,,,,,,,
"Kredit portfeli, o cümlədən",,,"4,783,112","3,269,664","409,275",-,"1,073,830","30,343",-,"təmin 
  -",,,,,,,
-Biznes,,,"1,610,211","752,993","363,512",-,"463,363","30,343",-,-,,,,,,,
-İstehlak,,,"2,562,435","2,516,672","45,763",-,-,-,-,-,,,,,,,
-Daşınmaz əmlak,,,"610,467",-,-,-,"610,467",-,-,-,,,,,,,
-Digər kreditlər,,-,,-,-,-,-,-,-,-,,,,,,,
,,,,Likvidlik riski,,,,,,,,,min manatla,,,,
,,Ödəniş müddətinin bitməsinə qalan günlər,,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi,,,,
,1.3,Müştərilərə verilmiş kreditlər (xalis),,"30,052","34,457","424,802","432,060","455,922","404,967","1,372,989","1,129,330","498,534","4,783,113",,,,
,1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),,,300,100,432,"18,180",981,"1,080",583,"2,550","24,207",,,,
,1.5,Əks REPO əməliyyatları üzrə,,,"226,301","251,128",,-,,,,-,"477,429",,,,
,1.6,Qısamüddətli maliyyə alətləri,,,"461,902",,,-,,,,-,"461,902",,,,
,1.7,Törəmə maliyyə alətləri,,,,,,,-,,,,-,,,,
,1.8,Bankın depozitləri,,"14,452","23,000","9,085","17,000","20,200","43,217",-,-,-,"126,954",,,,
,1.9,"“Nostro"" hesabları",,"113,977",,,,-,-,-,-,-,"113,977",,,,
,1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,,,,-,-,-,-,"(558,134)","(558,134)",,,,
,1.9.2,Digər maliyyə aktivlər,,,"242,563",,,-,-,-,-,"579,590","822,153",,,,
,2,Öhdəliklər,,"5,989,206","84,990","441,032","383,547","469,157","603,330","193,917","404,796","1,414,569","9,984,543",,,,
,2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,,-,,,,-,-,540,-,-,540,,,,
,2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,,25,"48,090","29,268","28,017","51,763","96,721","48,801","73,432","446,676","822,792",,,,
,2.3,Müştərilərin depozitləri:,,"5,624,449","36,900","411,764","355,530","417,394","506,609","144,576","103,864",2,"7,601,088",,,,
,2.3.1,tələbli depozitlər,,"5,612,448",,,,-,-,-,-,-,"5,612,448",,,,
,2.3.2,müddətli depozitlər,,"12,001","36,900","411,764","355,530","417,394","506,609","144,576","103,864",2,"1,988,640",,,,
,2.4,Subordinasiya öhdəlikləri,,,,,,-,-,-,"227,500",-,"227,500",,,,
,2.5,Borc qiymətli kağızları,,,,,,-,-,-,-,-,-,,,,
,2.6,"“Loro"" hesabları",,"6,563",,,,-,-,-,-,-,"6,563",,,,
,2.7,Digər maliyyə öhdəliklər,,"358,169",,,,-,-,-,-,-,"358,169",,,,
,2.8,Kapital,,,,,,,,,,"967,891","967,891",,,,
