"1bvə .a s Nnaka iot ğ lmd ə rav d ətla saa xri idl t al o ə lvr m ə(b ama q n lüa kb) n ,a o cdə till məa r iş vöəb əslikəkriənldəər, oyolalnd an,a ğd",sabit faizlə,dəyişkən faizlə,"faizsiz
989,305"
"23h ..e s M"" Na a ə bo ) r l sa k R tə rr eı zo)z, i "" ic B d əh e a me n ns t k ia d b ba a l a n mr k ıü l a (xb r baişrq hae bsaabn,k claərmdaikı müxbir",-,-,"1,660,397
113,977
14,181"
"4av ə l. ə s B ta al ə b ai n tr ) ) l k iəR Q l(r a e 7) er ,z - yacci r d riə i a e - gm rs n ü eı it n zb b iad d a zə e n a n d k rtıa l n a b x r aqil n ıoskal l m amr aüqdldaə, t7l ig münaəlidyəyək olan","461,902
-",-,"99,795
-"
"5in . s B t ia t b un) tk Q llaae rrı y ndr d ia- a rdk eaı z xd idiele pon oltm z b iat a lqə nlr ka, l ,a c mr əmalii yyə","461,902
126,954","-
-","-
-"
"5is.t1is.Bnaa nekdlailmrdəakklıə d),e cp əo Rmz i zit l ə r ( 3 -c ü v ə 4-cü sətirlər
a ) e i d e n t b a n k l a r","104,560
104,560","-
-","-
-"
"b) Qeyri-rezident banklar
5.2 Digər maliyyə institutlarında depozitlər, cəmi
6. Əks REPO əməl abiy )) y RQa eet z lya ird riı e- rü nez tzr im əd eanliyt yməa inliysytiətu tlarında","-
22,394
4 72 73 ,, 47 25 98-","-
-
---","-
-
---"
"7. Qiymətli kağızlaab r)) , öt c i ədca mərni ə işt müçüüdnd aəltıninmədışə qki ymətli
8q.ıs Baamnükdladrəat lki rmedailtilyəyrə ( 5a-ləcit lsəərti iirs ütizsrnəa b oalnmkalaqrlaar),a csəı mi
9. Digər maliyyə in abs ))t RQit e uez tyi lrd aie-rrı n net az ib dk a ren enk dtl i a tbl raə anr,k claərmai","1 , 091 834 348 ,,, 274 476 183
16,150
1 86 ,, 01 5 5 70-","---
-
---","---
-
---"
"11əs 01a .. s MK öv ü ənş sət aləmi r t i ləl ə ə rçr , ə ıcx əıvlmme abr )) iai l RQ qə e nl e a z y k i b rd ri ae e-r nd ne ki t tz li im əş d irea n nl d iyt ə ym i ə s a t i i nl f iy a syt d iət ə u o tl l a u r n ın a a n","4 , 6 8 8 9 , , 0 1 5 0 7 5-
-","---
-","---
-"
"1(e2h. tBiyaantkla irş içnıdxıəlm isatqiflaad),ə c oəlmuni mayan daşınmaz əmlak",-,-,-
"1csəə3 hm. m İicy myvəə at l ylləa arş db məa a şim qşta ıişr fa o tkö r m r(5ə a0m d%ə a+ t t1ə ö ssr əəə rsm r ühə füs aqi t du iqrsuə v),e crəəmn i",-,-,-
"1d1 4ə5n. . D A am izg)ə o, rcr tət i əmz s aiə s r iy rü a f ç a ı t x ı c lm əm aq iy la yə q t e lə y r r i i n -m də a i d ş d ti i r a a k k t ( i 5 vl 0 ə % r -","-
-","-
-","-
-"
11ü 78çü .. n D(ç i yıgxa ə)r rAa a dkktılit mvivləı l ş ər r eü hztriəy amtlüamrkün zərərlərin ödənilməsi,"-
-","-
-","574,596
-"
