Unnamed: 0,Məbləğ,"Cəmi kredit portfelində xüsusiçəkisi",Yaradılmış adi ehtiyat,"Yaradılmış adiehtiyatın kreditportfelində  payı(faizlə)","Yaradılmış məqsədliehtiyat","Yaradılmış məqsədliehtiyatın kreditportfelində payı (faizlə)"
"1. Cəmi kredit portfeli, o cümlədən","4,783,112",X,"29,033",0.61%,"507,990",10.62%
1.1.Standart kreditlər,"2,666,987",55.76%,"29,033",0.61%,X,X
1.1.1. Qənaətbəxş kreditlər,"2,559,254",53.51%,"25,593",0.54%,X,X
1.1.2. Nəzarət altında olan kreditlər,"107,734",2.25%,"3,440",0.07%,X,X
1.2. Qeyri-standart kreditlər,"1,714,916",35.85%,X,X,"507,990",10.62%
Qeyri-qənaətbəxş,"1,598,754",33.42%,X,X,"399,689",8.36%
Təhlükəli,"10,088",0.21%,X,X,"5,044",0.11%
Ümidsiz,"106,074",2.22%,X,X,"103,257",2.16%
1.3. Ehtiyat yaradılmayan kreditlər,"401,209",8.39%,X,X,X,X
