Unnamed: 0,Unnamed: 1,0-3 ay,3-6 ay,6-9 ay,9-12 ay,1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi
Faiz dərəcəsinə həssas cəmi aktivlər,C1,"1,724,282","728,229","564,518","614,925","1,757,444","729,613","645,373","144,289","6,908,673"
Faiz dərəcəsinə həssas cəmi öhdəliklər,C1,"2,273,659","738,760","886,274","1,013,219","291,065","212,139","58,881","445,136","5,919,134"
Qəp,C1,"(549,377)","(10,531)","(321,757)","(398,293)","1,466,379","517,473","586,492","(300,847)",
Kumulyativ qəp,C1,"673,318","(559,908)","(881,665)","(1,279,958)","186,421","703,894","1,290,386","989,539",
