Kreditlərin təsnifləşdirilməsi haqqında məlumatlar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
(min manatla),,,,,,
,Məbləğ,Cəmi kredit portfelində xüsusi çəkisi,Yaradılmış adi ehtiyat,Yaradılmış adi ehtiyatın kredit portfelində  payı (faizlə),Yaradılmış məqsədli ehtiyat,Yaradılmış məqsədli ehtiyatın kredit portfelində payı (faizlə)
"1. Cəmi kredit portfeli, o cümlədən",2298812.88,X,11539.570899999999,0.005244397465306212,316276.58,0.1241577957167603
1.1.Standart kreditlər,908140.13,0.4159901473156521,11539.570899999999,0.005244397465306212,X,X
1.1.1. Qənaətbəxş kreditlər,792452.01,0.362466757433545,9370.410899999999,0.004173915570247633,X,X
1.1.2. Nəzarət altında olan kreditlər,115688.12,0.0535233898821071,2169.16,0.001070481895058579,X,X
1.2. Qeyri-standart kreditlər,1108357.72,0.4545783591970018,X,X,316276.58,0.13095209075258823
Qeyri-qənaətbəxş,1049832.76,0.42903176666635884,X,X,262458.19,0.10725794166658971
Təhlükəli,9413.14,0.0037048868892888497,X,X,4706.57,0.0018524434446444249
Ümidsiz,49111.82,0.0218417056413541,X,X,49111.82,0.0218417056413541
1.3. Ehtiyat yaradılmayan kreditlər,282315.02999999997,0.12943149348734606,X,X,X,X
