2,I dərəcəli kapitaldan  tutulmalar,24842
3.0,Tutulmalardan  sonra I dərəcəli kapitalı (1 - 2),404891
4.0,II dərəcəli  kapital,196263
5.0,Məcmu kapital (3+4),601154
6.0,Məcmu kapitaldan tutulmalar :,12540
7.0,Tutulmalardan sonra məcmu kapital (5-6),588613
8.0,Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər,3392383
,,faizlə
9.0,I dərəcəli  kapitalın  adekvatlıq əmsalı (3:8) x 100,12
10.0,Məcmu kapitalın  adekvatlıq  əmsalı (7:8) x 100,17
