"3,00 Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti 507 035 106 039"
"3,10 Ödənilmiş mənfəət vergisi -49 000 -3 000"
"4,00 Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri 458 035 103 039
5,00 İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti"
"5,10 Əmlak və avadanlıqların alınması və avans ödənişləri 4 478 -4 753"
"5,20 Əmlak və avadanlıqların satılmasından daxilolmalar 339 1"
"5,30 Qeyri-maddi aktivlərin alınması -3 594 -4 020"
