Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,3742133.939999999
1.1,0-3 ay,651825.38
1.2,3-6 ay,391633.45999999996
1.3,6-12 ay,515864.0
1.4,12-24 ay,1177828.0399999993
1.5,24-36 ay,536354.06
1.6,36 aydan yuxarı,468629.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,2882463.48
2.1,0-3 ay,1296914.4
2.2,3-6 ay,185268.25
2.3,6-12 ay,543796.0
2.4,12-24 ay,499901.83999999997
2.5,24-36 ay,106117.99
2.6,36 aydan yuxarı,250465.0
3.0,“Qəp”,859670.4599999995
3.1,0-3 ay,-645089.0199999999
3.2,3-6 ay,206365.20999999996
3.3,6-12 ay,-27932.0
3.4,12-24 ay,677926.1999999994
3.5,24-36 ay,430236.07000000007
3.6,36 aydan yuxarı,218164.0
