Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",2298812.8800000004,2060644.04,164492.72999999998,19541.800000000003,6191.420000000001,4040.78,3478.76,3364.6200000000003,1834.27,4298,1610.94,1713.88,1702.55,1864.4899999999998,24034.6
  -Biznes,599908.7700000001,568058.31,11304.519999999975,4851.810000000002,98.06000000000063,167.32000000000016,149.5000000000002,211.98000000000013,0,1869.9900000000002,0,0,0,0,13197.279999999999
  -İstehlak,1435826.66,1240232.51,143895.85000000003,13889.460000000001,5905.6,3873.46,3258.48,3085.26,1834.27,2428.0099999999998,1610.94,1713.88,1702.55,1831.9799999999998,10564.41
  -Daşınmaz əmlak,263077.45000000007,252353.22,9292.36,800.53,187.76,0,70.78,67.38,0,0,0,0,0,32.51,272.91
  -Digər kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",2298812.8800000004,1648768.71,12422,0,353477.45000000007,284144.72000000003,0,0,,,,,,,
  -Biznes,599908.77,236188.63,3873,0,90400,269447.14,0,0,0,,,,,,
  -İstehlak,1435826.6600000001,1412580.08,8549,0,0,14697.58,0,0,0,,,,,,
  -Daşınmaz əmlak,263077.45000000007,0,0,0,263077.45000000007,0,0,0,,,,,,,
  -Digər kreditlər,0,0,0,0,0,0,0,0,,,,,,,
