Likvidlik riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,min manatla
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,2603468.5199999996,53463.06,352124.7,230295.47,309732.94,428023.39,1293809.590000001,970140.53,468464.84779999993,6709523.047800001
1.1,Nağd pul və ekvivalentləri,2475461,0,0,0,0,0,0,0,30349.68,2505810.68
1.2,Qiymətli kağızlar,0,0,50307,25712.45,45720.4,212464.3,226789.40000000002,404488.74,149467.9,1114950.19
1.3,Müştərilərə verilmiş kreditlər (xalis),27279.4,14411.06,160235.64,195383.02,214251.03,205033.85,1017823.4500000009,505651.79,312491.13,2652560.3700000006
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),0,0,2490,700,18500,8500,0,40000,0,70190
1.5,Qısamüddətli maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.6,Törəmə maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.7,Bankın depozitləri,7734.01,39052,124048.06,8500,27018.92,0,45500,20000,0,271852.99
1.8,"“Nostro"" hesabları ",92994.11000000002,,15044,0,4242.59,2025.24,3696.74,0,,118002.68000000002
1.9,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,,,,,,,414623.86220000003,
1.9.1,Digər maliyyə aktivlər,0,0,0,0,0,0,0,0,390780,390780
2,Öhdəliklər,4822234.08,26552.59,196158,259570,125571,47961,117798.29,139207.9,974470.2899999999,6709523.15
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,0,0,0,0,0,0,0,1619.9,0,1619.9
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,0,25500,47265,8780,8500,405,52063.28999999999,29757,258274.36,430544.64999999997
2.3,Müştərilərin depozitləri:,4453488.28,1052.5899999999997,148893,250790,117071,47556,65735,107831,0,5192416.87
2.3.1,tələbli depozitlər,4417507,0,0,0,0,0,0,0,0,4417507
2.3.2,müddətli depozitlər,35981.279999999955,1052.5899999999997,148893,250790,117071,47556,65735,107831,0,774909.8699999999
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0,0,0,0,59500,59500
2.5,Borc qiymətli kağızları,0,0,0,0,0,0,0,0,0,0
2.6," “Loro"" hesabları",4418.52,,,,,,,,,
2.7,Digər maliyyə öhdəliklər,364327.28,0,0,0,0,0,0,0,8500,372827.28
2.8,Kapital,,,,,,,,,648195.9299999999,
3,"Likvidlik ""qəpi""",-2218765.5600000005,26910.469999999998,155966.7,-29274.53,184161.94,380062.39,1176011.300000001,830932.63,-506005.4422,-0.10219999932451174
