B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
liaAndCap,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV 
ilə (manat ekv.)"
,tot-insLia,"FXAZNEqui-
insLia",tot-0.25,FXAZNEqui-0.25,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,"FXAZNEqui-
totLia"
b) Qeyri-rezident banklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə 
institutlarından alınmış kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258 273,0,258 273,0
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10. Bələdiyyələrin kreditləri və depozitləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank 
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən olan 
borc öhdəlikləri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59 500,59 500,59 500,59 500
13. Digər passivlər,364 325,16 659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,372 825,25 159
14. Kapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648 196,,648 196,XXX
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),4 822 232,779 246,26 553,25 720,3 782,451,58 418,43 882,65 774,12 133,68 183,43 248,27 813,7 989,35 145,22 078,196 612,181 434,73 809,14 725,25 761,5 557,26 002,5 547,21 713,5 626,10 965,2 392,15 283,5 819,117 799,61 435,88 294,36 601,50 915,55,974 469,68 000,6 709 523,1 321 937
"16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis 
məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəl A13-B)",-2 218 763,-112 343,26 911,-25 706,68 578,50 710,-20 273,-39 844,62 237,16 156,45 424,-42 129,46 511,-7 897,46 784,-21 884,-122 569,-181 045,61 730,34 321,62 284,3 500,60 148,1 396,76 833,19 851,234 993,212,68 236,-3 311,1 176 011,225 913,489 848,87 513,341 084,180 729,-506 006,-6 065,0,180 079
