,,,(min manatla)
Öhdəliklərin maddələri,,(Hesabat ili qeyd edilsin),
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi","4,734,620",,"-                                                                           4,269,262"
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",-,-,"1,840,160"
a1) faizsiz tələbli depozitlər,-,-,"1,840,160"
a2) faizli tələbli depozitlər,-,-,-
"b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə institutlarının cari hesabları da daxil olmaqla), cəmi","2,278,057",-,"2,429,102"
b1) faizsiz tələbli depozitlər,-,-,"2,429,102"
b2) faizli tələbli depozitlər,"2,278,057",-,-
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi","2,456,563",-,-
c1) fiziki şəxslərin müddətli depozitləri,"1,312,763",,
c2) hüquqi şəxslərin müddətli depozitləri,"1,143,800",,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",491,-,-
a) auksion əsasında,-,-,-
b) overdraft,-,-,-
