Maliyyə vəziyyəti haqqında hesabat,,,
,,,min manatla
,finSitStatem,Hesabat dövrü,"Keçən ilin müvafiq
dövrü"
,,30.9.2022,30.9.2021
1 Aktivlər: 7 721 463 5 916 038,,,
"1,1 Nağd pul vəsaitləri və ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait 1 736 657 1 774 132",,,
