Faiz riski,min manatla,Unnamed: 0
1.0,Faiz dərəcəsinə görə cəmi aktivlər,"8 ,387,569"
1.1,0-3 ay,"1,454,023"
1.2,3-6 ay,"711,688"
1.3,6-12 ay,"1,292,677"
1.4,12-24 ay,"2,675,671"
1.5,24-36 ay,"964,313"
1.6,36 aydan yuxarı,"1,289,197"
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,"5 ,803,709"
2.1,0-3 ay,"3,145,437"
2.2,3-6 ay,"720,720"
2.3,6-12 ay,"927,026"
2.4,12-24 ay,"173,694"
2.5,24-36 ay,"69,733"
2.6,36 aydan yuxarı,"767,099"
3.0,“Qəp”,"2 ,583,860"
3.1,0-3 ay,"( 1,691,415)"
3.2,3-6 ay,"(9,032)"
3.3,6-12 ay,"365,651"
3.4,12-24 ay,"2,501,976"
3.5,24-36 ay,"894,581"
3.6,36 aydan yuxarı,"522,098"
