B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,,,,,,,,,,,,,,,,,,,,
,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XVilə (manat ekv.)"
,tot-insLia,"FXAZNEqui-insLia",tot-0.25,"FXAZNEqui-0.25",tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,"FXAZNEqui-totLia"
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisnaolmaqla), cəmi","5.053.413,30","750.022,94","3.603,96","442,05","6.571,02","772,62","70.603,20","2.188,64","39.667,32","23.330,94","218.461,23","172.947,40","63.056,67","4.662,22","26.556,45","4.796,65","32.228,09","2.467,29","19.222,73","4.120,82","44.441,78","6.462,93","28.820,17","4.067,08","15.157,52","3.226,36","53.450,88","8.087,10","29.043,01","6.333,87","118.238,93","34.954,47","50.029,11","7.774,85","40.070,69","23,38","0,00","0,00","5.912.636,06","1.036.681,61"
a) fiziki şəxslərin tələbli depozitlər,"1.231.510,37","214.367,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.231.510,37","214.367,99"
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bankmaliyyə institutlarının cari hesabları da daxil olmaqla) və çekhesabları  daxil olmaqla)","3.821.462,74","535.396,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.821.462,74","535.396,90"
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,"440,19","258,05","3.603,96","442,05","6.571,02","772,62","14.603,20","2.188,64","33.067,32","19.930,94","20.899,63","3.385,80","63.056,67","4.662,22","24.556,45","4.796,65","21.228,09","2.467,29","19.222,73","4.120,82","23.441,78","6.462,93","25.320,17","4.067,08","15.157,52","3.226,36","53.450,88","8.087,10","27.043,01","6.333,87","85.338,93","14.554,47","50.029,11","7.774,85","40.070,69","23,38","0,00","0,00","527.101,35","93.555,12"
"d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətlidepozitlər","0,00","0,00","0,00","0,00","0,00","0,00","56.000,00","0,00","6.600,00","3.400,00","197.561,60","169.561,60","0,00","0,00","2.000,00","0,00","11.000,00","0,00","0,00","0,00","21.000,00","0,00","3.500,00","0,00","0,00","0,00","0,00","0,00","2.000,00","0,00","32.900,00","20.400,00","0,00","0,00","0,00","0,00","0,00","0,00","332.561,60","193.361,60"
"e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətlidepozitlər",,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətlidepozitlər",,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
