Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,6073082.86
1.1,0-3 ay,1019622.5500000002
1.2,3-6 ay,454253.3900000001
1.3,6-12 ay,1210180.51
1.4,12-24 ay,1561634.25
1.5,24-36 ay,769211.0900000001
1.6,36 aydan yuxarı,1058181.07
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,3307525.4974999996
2.1,0-3 ay,2013964.9975
2.2,3-6 ay,282382.9199999999
2.3,6-12 ay,320147.9800000001
2.4,12-24 ay,219562.82000000004
2.5,24-36 ay,55133.15
2.6,36 aydan yuxarı,416333.62999999995
3.0,“Qəp”,2765557.3625
3.1,0-3 ay,-994342.4474999999
3.2,3-6 ay,171870.47000000015
3.3,6-12 ay,890032.5299999999
3.4,12-24 ay,1342071.43
3.5,24-36 ay,714077.9400000001
3.6,36 aydan yuxarı,641847.4400000002
