,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-,,tot-15-30,FXAZNEqui-15-,tot-31-60,FXAZNEqui-31-,tot-61-90,FXAZNEqui-61-,tot-91-120,FXAZNEqui-91-,tot-121-150,FXAZNEqui-121-,tot-151-180,FXAZNEqui-151-,tot-181-210,FXAZNEqui-181-,tot-211-240,FXAZNEqui-211-,tot-241-270,FXAZNEqui-241-,tot-271-300,FXAZNEqui-271-,tot-301-300,FXAZNEqui 301-,tot-331-365,FXAZNEqui-331-,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,14,,,30,,60,,90,,120,,150,,180,,210,,240,,270,,300,,330,,365,,,,,,,,,,
a) Rezident maliyyə institutlarına,"13.805,02","13.805,02","8.480,08","8.480,08","0,00",,"0,00","34.481,25","0,00","8.500,00","0,00","18.500,00","0,00","20.000,00","0,00","2.000,00","0,00","21.700,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34.000,00","0,00","0,00","0,00","99.275,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","260.741,35","22.285,10"
a1) müddəti çatmamış depozitlər,"13.805,02","13.805,02","8.480,08","8.480,08","0,00",,"0,00","34.481,25","0,00","8.500,00","0,00","18.500,00","0,00","20.000,00","0,00","2.000,00","0,00","21.700,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34.000,00","0,00","0,00","0,00","99.275,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","260.741,35","22.285,10"
a2) qaytarılma müddəti bitmiş depozitlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
b) Qeyri-rezident maliyyə institutlarına,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
b1) müddəti çatmamış depozitlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
b2) qaytarılma müddəti bitmiş depozitlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
6. Əks REPO əməliyyatları üzrə,"0,00","0,00","38.198,64","0,00","0,00",,"0,00","9.993,59","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","48.192,23","0,00"
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli,"0,00","0,00","9.067,92","0,00","8.074,22",,"0,00","48.847,53","0,00","74.489,79","0,00","44.626,94","374,00","86.954,23","0,00","48.698,72","0,00","17.012,08","0,00","9.724,90","0,00","294.788,28","1.700,00","123.408,47","17.000,00","15.429,40","850,00","19.939,80","3.825,00","207.874,40","190.539,40","208.748,30","56.157,80","444.256,08","201.351,40","182.596,40","73.624,76","5.325,41","0,00","1.849.862,87","545.422,36"
kağızlara investisiyalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","214.456,55","0,00","214.456,55","0,00"
