2,I dərəcəli kapitaldan  tutulmalar,24127
3.0,Tutulmalardan  sonra I dərəcəli kapitalı (1 - 2),564933
4.0,II dərəcəli  kapital,152110
5.0,Məcmu kapital (3+4),717042
6.0,Məcmu kapitaldan tutulmalar :,11815
7.0,Tutulmalardan sonra məcmu kapital (5-6),705227
8.0,Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər,3345568
,,faizlə
9.0,I dərəcəli  kapitalın  adekvatlıq əmsalı (3:8) x 100,17
10.0,Məcmu kapitalın  adekvatlıq  əmsalı (7:8) x 100,21
