Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,3731630.6199999996
1.1,0-3 ay,713653.31
1.2,3-6 ay,486784.35
1.3,6-12 ay,557725.0
1.4,12-24 ay,1082633.6899999992
1.5,24-36 ay,496540.27
1.6,36 aydan yuxarı,394294.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,1988796.6800000002
2.1,0-3 ay,734198.73
2.2,3-6 ay,245093.87999999966
2.3,6-12 ay,535777.0
2.4,12-24 ay,140781.68000000087
2.5,24-36 ay,96691.38999999977
2.6,36 aydan yuxarı,236254.0
3.0,“Qəp”,1742833.939999999
3.1,0-3 ay,-20545.419999999925
3.2,3-6 ay,241690.47000000032
3.3,6-12 ay,21948.0
3.4,12-24 ay,941852.0099999984
3.5,24-36 ay,399848.88000000024
3.6,36 aydan yuxarı,158040.0
