"","","","min manatla"
"","","","Keçən ilin müvafiq"
"","","Cari dövr",""
"","","","dövrü"
"","","31.03.2021","31.03.2020"
"1","Faiz gəlirləri:","111764","106498"
"1,1","Müştərilərə verilmiş kreditlər","90262","93880"
"1,2","Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz gəlirləri","2521","173"
"1,3","Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz gəlirləri","1850","5807"
"1,4","Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri","15133","4295"
"1,5","Digər faiz gəlirləri","1998","2343"
"2","Faiz xərcləri:","15239","12646"
"2,1","Depozitlər üzrə faizlər","11680","11839"
"2,2","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz xərcləri","1","1"
"2,3","Cəlb edilmiş kreditlərə görə ödənilən faizlər","1527","422"
"2,4","Pul bazarı alətlərinə ödənilən faizlər","0","0"
"2,5","Qiymətli kağızlar üzrə faizlər","0","0"
"2,6","Digər faiz xərcləri","2032","384"
"3","Xalis faiz gəliri(zərəri)","96525","93852"
"4","Qeyri-faiz gəlirləri:","58762","48431"
"4,1","Alınan haqq və kommisiya gəliri","52643","41940"
"4,2","Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla","5458","5698"
"4,3","Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən gəlir/zərər","0","0"
"4,4","Digər gəlirlər","661","794"
"5","Qeyri-faiz xərcləri:","64649","58952"
"5,1","Əmək haqqı və digər kompensiya növləri üzrə xərclər","31786","30596"
"5,2","Ümumi və inzibati xərclər","20493","6278"
"5,3","Amortizasiya xərcləri","5213","4312"
"5,4","Digər xərclər","7157","17765"
"6","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar)","21,195","-10,573"
"7","Mənfəət vergisindən əvvəlki mənfəət(zərər)","69443","93904"
"8","Mənfəət vergisi","13908","19010"
"9","Dövr üzrə xalis mənfəət","55535","74893"
