Likvidlik riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,min manatla
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,1845215.24,43307.9,524380.53,235001,249244,230252,1034439.5899999997,465670,599961.47,5227471.7299999995
1.1,Nağd pul və ekvivalentləri,1715476,0,0,0,0,0,0,0,29686.07,1745162.07
1.2,Qiymətli kağızlar,0,19788.27,154452,28375,18729,39040,283299,199569,56418,799670.27
1.3,Müştərilərə verilmiş kreditlər (xalis),28927.54,2799.55,158943,165626,142927,183794,711426.9699999997,266101,240624.4,1901169.4599999995
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),0,0,25,1200,200,500,8500,0,0,10425
1.5,Qısamüddətli maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.6,Törəmə maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.7,Bankın depozitləri,5441.15,20720.08,204559.52999999997,19550,83945,5100,31213.62,0,0,370529.38
1.8,"“Nostro"" hesabları ",95370.55000000002,,6401,20250,3443,1818,,,,127282.55000000002
1.9,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,,,,,,,-18853,
1.9.1,Digər maliyyə aktivlər,0,0,0,0,0,0,0,0,292086,292086
2,Öhdəliklər,3523904.9000000004,1806.9,167341,254266,122594.5,74315.37,96500.16999999978,56744.92,929998.7200000001,5227472.4799999995
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,0,0,0,0,0,0,0,2159.87,0,2159.87
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,0,0,42951,17000,20000.5,5447.37,23103.269999999997,17660,227803.88,353966.02
2.3,Müştərilərin depozitləri:,3160372.2300000004,1806.9,124390,237266,102594,68868,73396.89999999978,36925.05,0,3805619.08
2.3.1,tələbli depozitlər,3160372.2300000004,0,0,0,0,0,0,0,0,3160372.2300000004
2.3.2,müddətli depozitlər,0,1806.9,124390,237266,102594,68868,73396.89999999978,36925.05,0,645246.8499999999
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0,0,0,0,59500,59500
2.5,Borc qiymətli kağızları,0,0,0,0,0,0,0,0,0,0
2.6," “Loro"" hesabları",3446.0699999999997,,,,,,,,,
2.7,Digər maliyyə öhdəliklər,360086.6,0,0,0,0,0,0,0,8500,368586.6
2.8,Kapital,,,,,,,,,634194.8400000001,
3,"Likvidlik ""qəpi""",-1678689.6600000004,41501,357039.53,-19265,126649.5,155936.63,937939.4199999999,408925.08,-330037.2500000001,-0.750000000523869
