maliyyə institutlarının cari hesabları da daxil olmaqla) və çek
4. REPO əməliyyatları üzrə,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-
ci gün də daxil olmaqla 7 günədək olanlar)","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
6. Bankların və digər maliyyə institutların depozitləri,"0,00","0,00","0,00","0,00","9 000,00","8 500,00","0,00","0,00","28 850,50","28 500,50","5 100,00","5 100,00","17 000,00","17 000,00","0,00","0,00","0,00","0,00","20 000,50","20 000,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5 353,37","5 353,37","23 103,27","22 715,23","3 743,68","3 743,68","13 916,74","35,10","0,00","0,00","126 068,06","110 948,38"
a) Rezident maliyyə institutları,"0,00","0,00","0,00","0,00","9 000,00","8 500,00","0,00","0,00","28 850,50","28 500,50","5 100,00","5 100,00","17 000,00","17 000,00","0,00","0,00","0,00","0,00","20 000,50","20 000,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5 353,37","5 353,37","23 103,27","22 715,23","3 743,68","3 743,68","13 916,74","35,10","0,00","0,00","126 068,06","110 948,38"
b) Qeyri-rezident maliyyə institutları,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
a) Rezident banklar,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
b) Qeyri-rezident banklar,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə
institutlarından alınmış kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","93,50","93,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","227 803,88","0,00","227 897,38","93,50"
9. Mərkəzi idarəetmə orqanlarının kreditləri və depozitləri,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
10. Bələdiyyələrin kreditləri və depozitləri,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən olan
borc öhdəlikləri","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","59 500,00","59 500,00","59 500,00","59 500,00"
13. Digər passivlər,"360 086,60","43 536,41","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00","368 586,60","52 036,41"
14. Kapital,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","634 194,84",,"634 194,84",XXX
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"3 523 904,90","764 127,40","1 806,90","349,62","12 876,86","8 817,45","52 669,34","43 906,44","75 660,91","45 659,42","26 133,72","13 914,27","33 731,89","23 358,11","31 760,50","22 710,63","188 773,29","177 419,58","83 109,72","30 160,10","21 905,62","5 707,94","17 578,84","4 924,02","19 821,70","5 237,04","19 894,15","4 643,88","34 598,97","12 390,34","96 500,17","37 253,24","40 668,73","13 097,02","16 076,61","35,10","929 998,72","68 000,00","5 227 471,54","1 281 711,60"
"16. Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis
məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəl A13-B)","-1 678 689,83","-52 242,01","41 501,92","-272,34","92 800,86","-6 767,59","84 141,73","-34 620,92","91 917,32","-33 691,36","88 181,54","-8 452,13","125 597,00","578,69","30 819,39","-18 670,61","-111 734,57","-166 714,48","4 056,69","-25 070,18","28 320,36","-2 562,85","30 329,69","-4 033,40","63 621,35","-2 241,28","31 996,78","717,95","60 320,12","25 144,51","929 436,42","40 917,32","387 476,70","127 984,01","304 818,49","249 586,26","-604 911,96","-12 238,04","0,00","77 351,55"
