Likvidlik riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,min manatla
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,1917729.8,120811.13,446740,348307.2,221383,283963,966722.9499999989,803746,806634.24,5916037.319999999
1.1,Nağd pul və ekvivalentləri,1744900,0,0,0,0,0,0,0,29232.690000000002,1774132.69
1.2,Qiymətli kağızlar,0,47787.52,30193,33773,24910,45331,390325,373018,85650.59,1030988.11
1.3,Müştərilərə verilmiş kreditlər (xalis),83074.59,30816.510000000002,167907,182657,165494,203166,528919.369999999,410728,314217.67000000004,2086980.1399999987
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),0,0,0,985.2,0,20640,1000,0,0,22625.2
1.5,Qısamüddətli maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.6,Törəmə maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.7,Bankın depozitləri,6057.129999999999,42207.1,247501,113500,30554,8500,45500,20000,0,513819.23
1.8,"“Nostro"" hesabları ",83698.08000000003,,1139,17392,425,6326,978.5799999999999,0,,109958.66000000003
1.9,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,,,,,,,-18070.4525,
1.9.1,Digər maliyyə aktivlər,0,0,0,0,0,0,0,0,395603.7425,395603.7425
2,Öhdəliklər,4075702.25,5640,93329,204119,264684,138888,111002.98999999999,98557.87,924114.21,5916037.32
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,0,0,0,0,0,0,0,2159.87,0,2159.87
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,0,0,15529,47326,8760,8500,47686.93,33932,255964,417697.93
2.3,Müştərilərin depozitləri:,3806476.64,5640,77800,156793,255924,130388,63316.06,62466,0,4558803.7
2.3.1,tələbli depozitlər,3805913,0,0,0,0,0,0,0,0,3805913
2.3.2,müddətli depozitlər,563.64,5640,77800,156793,255924,130388,63316.06,62466,0,752890.7
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0,0,0,0,59500,59500
2.5,Borc qiymətli kağızları,0,0,0,0,0,0,0,0,0,0
2.6," “Loro"" hesabları",3020.2700000000004,,,,,,,,,
2.7,Digər maliyyə öhdəliklər,266205.33999999997,0,0,0,0,0,0,0,8500,274705.33999999997
2.8,Kapital,,,,,,,,,600150.21,
3,"Likvidlik ""qəpi""",-2157972.45,115171.13,353411,144188.2,-43301,145075,855719.9599999989,705188.13,-117479.96999999997,-1.3969838619232178e-09
